,int,beta,pval,sigma,cor,adj_pval
VPS25,0.0145119705904467,-0.0126335558541357,0.00383440765055084,0.297696738820508,-0.0423995069926696,0
OPI3,0.152673105891657,-0.0544553053706214,2.28714488129943e-08,0.663068689304708,-0.0818506247777305,4.79622914799216
CHO2,0.113704837831259,-0.0310548352009353,2.24241206695591e-05,0.498861953035386,-0.0621310905599315,1.80480740245327
CTK1,0.0313705221156957,-0.0215992950836081,0.00333423665157109,0.501390428953799,-0.0430388772747312,0
ELP3,0.00336165458878682,-0.00080367999869291,0.807574822962183,0.224929374411316,-0.00357300984244505,0
NUP133,0.0506767594285172,-0.0165830365347887,0.000650707450304305,0.331328346860427,-0.0499875885264411,0.342137045017735
CTF8,0.00785163192574727,-0.0038419409040582,0.0600715047118782,0.139255124278577,-0.0275787306360409,0
DOA4,0.0430748530008049,-0.0202966143794859,6.15952553251178e-07,0.27710240866323,-0.0730502029874691,3.3659755644516
BRE2,0.0014342639120198,-0.00108867821611609,0.740505004768697,0.224073101917984,-0.00485852767439974,0
SWD1,0.00194386193180296,0.00294189195533471,0.375196825167133,0.226128312533345,0.0130087337929701,0
SPP1,-0.0152207376869069,0.0050094454454852,0.0277325343659121,0.155099230674909,0.0322814922096183,0
SET1,0.0159248943528331,-0.00382734429174259,0.236893157885153,0.220557019999008,-0.0173504709065832,0
HFI1,-0.0222802782908716,-0.00100037518281349,0.885473534277318,0.473434651972241,-0.00211301168048619,0
SWD3,0.00999194629685092,-0.00160928048917206,0.666668629720064,0.254677575480706,-0.00631876740261284,0
SDC1,-0.00270682729142719,0.00370160662413242,0.213575825891875,0.202847212091617,0.0182452123689187,0
BIM1,0.0218333703924343,-0.00615954777496291,0.0159206203717924,0.174111468875355,-0.0353549193802538,0
BUD13,-0.012266175224657,0.00069499353930011,0.813476722645655,0.200786689244099,0.00346133191701249,0
BRR1,-0.0086084949834556,0.000431617174769051,0.83480021846904,0.141075718834637,0.00305945741975281,0
BUD22,-0.00677960747242138,0.00140981062955295,0.675368673726091,0.229467940511328,0.00614370800297845,0
BUD20,0.0214418535411754,-0.00280428983543074,0.267794271064292,0.172486897587213,-0.0162558393138012,0
IBA57,0.0604562594057433,-0.0226124226240903,4.04201348533798e-05,0.375142404550015,-0.0601676990819871,1.54892506613933
CAR2,0.00276588916502866,-0.0036348970372232,0.121449464212252,0.159965608168229,-0.0227171267065103,0
SRV2,0.128808050215036,-0.0473201247086077,2.61446513782459e-09,0.540705851618087,-0.0871822405649867,5.7381399690817
BUD21,-0.00507863419363024,0.00534742517620305,0.0476086174818582,0.183977801358345,0.0290533302940888,0
CCE1,0.0400190411280117,-0.0137951562154454,7.1569895423034e-06,0.209253296819512,-0.0657828364513541,2.30079244162515
CDC40,-0.0134011175660769,-0.000571086585507932,0.905378195215183,0.32748516059538,-0.00174385219814547,0
SSN3,0.101951416102574,-0.0265547430773429,0.000552619789844072,0.523746672104554,-0.0506364599157603,0.413096390893903
CGR1,0.0165709453126427,-0.0013866969803122,0.573211191615976,0.16779359422171,-0.00826402005615695,0
CHL1,0.00675153310747639,-0.00102065689948382,0.50715985997289,0.104892485655084,-0.00973004479059795,0
CGI121,-0.00436205219593226,0.00524807879787191,0.0794271126648924,0.203918643058676,0.0257276213319228,0
CIN8,0.0198425317398217,-0.00585718075701603,0.0279942590016037,0.181650335491078,-0.0322275116113162,0
CKB1,-0.0201583061708133,0.00454816133074038,0.141574650595009,0.210884701634369,0.021562037946021,0
CKA2,0.024266371354438,-0.00816629236668648,0.0284013657815865,0.253918918190571,-0.0321444040946313,0
CLB5,0.0146622968137419,-0.0027566859057375,0.223591669560206,0.154387914813963,-0.0178527352245784,0
CLB2,0.00340274957704389,-0.00493860646780642,0.00803988336046769,0.126967743551139,-0.0388671536021762,0
CKB2,-0.0216183489805745,0.00334701493122216,0.345137769668996,0.241656845510471,0.0138489515617703,0
CLA4,0.00170688380316326,-0.00392585998338402,0.0478444749783415,0.135212227468834,-0.0290225692890034,0
CLB1,-0.0159133805071628,0.00353459830097924,0.105408356827459,0.14878063699174,0.0237504108742541,0
CLN3,0.00834031678645834,-0.00466366817463558,0.0391458315932166,0.154086828214609,-0.0302526412773474,0
CLN2,-0.0020560682784184,0.00216486014916278,0.131706764114127,0.0978835342003683,0.0221112865646469,0
CSM1,0.0415322372004689,-0.0119095791099439,0.000108638301293463,0.209579460222068,-0.0567345498332782,1.11953985804546
CTF18,0.029162302973704,-0.00820470332352513,0.00587713596346236,0.20295348607473,-0.0403935266191377,0
CTF19,0.0103381670232101,-0.00295289092351818,0.0673698450474407,0.110019914180632,-0.0268299420256691,0
CSM3,-0.0016065201347707,0.00255909106262625,0.0967276416745322,0.105010589217749,0.0243626048759648,0
CTF4,0.0339798107348366,-0.00906563655469526,0.0118312746118102,0.24541794875585,-0.0369144055858324,0
SSN8,0.0773436170801796,-0.0191777720714083,0.00345399326913988,0.446850031148753,-0.0428782210071134,0
DCC1,0.0312769087998041,-0.00582746437164246,0.0302038870098729,0.183228274029136,-0.031788321641651,0
DBR1,0.0145994449113459,-0.00456649531510121,0.0383410586654586,0.150253928600252,-0.0303778268038792,0
DCS1,0.00369179159193499,-0.00738429597027122,0.00108830675115744,0.154000081697973,-0.0478949200658065,0.118771500989193
DBP3,0.0236181397910905,-0.00387712310472365,0.206205595055583,0.209057023739783,-0.0185425796644746,0
DDR48,-0.00842155589855884,-4.67321984355476e-05,0.985968147457584,0.181126434508268,-0.000258008705393981,0
DHH1,0.0245009809245633,-0.00325870110526646,0.461589846875459,0.301703577777165,-0.0108003725483499,0
DIG1,-0.038848782546555,0.0102974637249949,0.0257755457621921,0.314741945255913,0.03269966724236,0
DEG1,0.0100323262966048,-0.00333501920470851,0.310795436427072,0.224279847869497,-0.0148682576159169,0
DIG2,0.00374950651623038,-0.000716422683216219,0.523761844151782,0.0765955469707793,-0.00935291117601785,0
DSS1,-0.000246793568184942,-0.00177273748913779,0.269221171577822,0.109363513822084,-0.0162074587678574,0
DPB3,0.0128554240866176,-0.00137042008714698,0.488750312031881,0.13493124198012,-0.0101559089722034,0
DST1,-0.00598537646386104,0.00305952820231773,0.152811154269825,0.145859000139071,0.0209713171012052,0
DUN1,0.0219673142708403,-0.0124682729738177,2.43020674269037e-06,0.180081681429449,-0.0690714076406395,2.76987960275876
EBS1,0.00822742205393737,-0.00516621010998539,0.00550441670360886,0.126807968889269,-0.0407066534838956,0
EDC1,-0.00818633524749884,0.00180891256863282,0.436170105901669,0.158346739741193,0.0114229983507022,0
EFG1,0.0118330821421422,0.00250695699410569,0.425169822637488,0.214275668238573,0.011698880479553,0
ELG1,0.00108304361773285,0.000369577917919438,0.829954749267106,0.117304673247915,0.00315056573156899,0
ELF1,0.00108413587135663,-0.00564206399859674,0.103199074365634,0.235979517137656,-0.0239022951040824,0
ELM1,0.0236364730062214,-0.0135227386595526,5.63572058252506e-06,0.202827553147909,-0.0665234271030559,2.40457337148409
ERF2,0.0117565217372026,-0.00128436038537472,0.494480032556547,0.128141754699942,-0.0100224620766645,0
ERG2,0.0349496696502117,-0.0116803001228662,0.00254526501998326,0.263692747971549,-0.0442517222770081,0
EST1,-0.00164969703552252,-0.00050985880364309,0.752308659182618,0.110123027774489,-0.00462985216961851,0
EXO1,0.00172842575306345,-0.00113296922450644,0.612599146973258,0.152514043000375,-0.00742841736001461,0
FAB1,0.02127920063299,-0.0133739487509562,5.53233614702443e-07,0.181832125598534,-0.0733529341345318,3.41261426410363
FKS1,0.0477565806733022,-0.011430475182771,0.00323333700360718,0.264480005284223,-0.0431783675814309,0
GEP3,0.0811148374027455,-0.0267310715504891,3.75081410976917e-07,0.358105097336995,-0.0744387853202518,3.5813972831913
FIN1,0.00339704306420047,0.00125394088865429,0.473272371559582,0.119181544505085,0.0105206850258075,0
FRA2,0.00558337565977738,-0.00648658244154525,0.000281216057277366,0.121653019146185,-0.0532447219889252,0.706482709229944
GAL80,0.00128923983733663,-0.000865467616291089,0.634417709065117,0.124062755999671,-0.00697587725659539,0
FUS3,-0.00670731643609786,0.00795764790851997,0.0174703345018533,0.228165103103481,0.034855516597616,0
GCR2,0.0115592522623041,-0.00233498867304713,0.510142820607209,0.241660563448794,-0.0096618151129083,0
GPA2,0.0307466351852562,-0.00347477040000127,0.256988016595242,0.2089405020289,-0.016628130760662,0
GPR1,0.0391318793221448,-0.0131619750659447,0.0015087221304052,0.28260418471342,-0.0465234556374957,0
GPG1,-0.0101083853291026,0.00308475655830398,0.122585032550344,0.136168619127991,0.0226481353199725,0
GPH1,-0.0183501214335571,0.0044646975299849,0.0594743148113266,0.16144943904104,0.0276432756882682,0
GIS4,0.0106057653456881,-0.0065548621456865,0.00569944402140165,0.161553823739632,-0.0405405035594916,0
GTR1,0.0103774363608783,-0.00310135635047071,0.291834274356584,0.200541514041482,-0.015463060435646,0
GSY2,0.00774149687193375,-0.000606183202724679,0.743640472832591,0.126348033064865,-0.00479767046250259,0
