,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.124051089299999,0.0686724310674082,-0.0629614966405612,0.767807522916753,0.875948910700001,0.00608974001257096,-0.00596437937231245,0.129460492899739,Y
OPI3,0.281327965926068,0.504067693039442,-0.136736426016033,1.04299635788135,0.718672034073932,0.0134626670964166,-0.0192022978047227,0.33718289343971,Y
CHO2,0.81387370083417,0.020415455636217,-0.0148972252425282,0.262808373620406,0.18612629916583,0.517909370878334,-0.0823244881912015,0.909791846836538,Y
CTK1,0.710843306861625,-0.0222415074313772,-0.0146953505055008,0.285022932468407,0.289156693138375,0.162950085253211,-0.0381458875524233,0.802938519044194,Y
ELP3,0.0519641461364776,-0.0238818184074615,-0.0437060301551844,0.687808905382482,0.948035853863522,0.00471741919007357,0.00124443395303268,0.165204519958808,Y
NUP133,0.871671605348368,-0.00146531693118432,-0.00651169958878429,0.202133111432158,0.128328394651632,0.401265356633878,-0.0658214237095118,0.656829480897922,Y
CTF8,0.894101287148871,0.000392522857341416,-0.00282125818783972,0.0880619745241547,0.105898712851129,0.0704884703825244,-0.00976823964569438,0.33635587011281,Y
DOA4,0.821521881721632,-0.00517405078274432,-0.00617303469316316,0.16818682646818,0.178478118278368,0.261877636528332,-0.0808868405587029,0.485784465186373,Y
BRE2,0.108589516086884,0.0490213728135756,-0.00745349040102494,0.537387583513347,0.891410483913116,-0.00443101004387289,0.000129525012785447,0.144263601856468,Y
SWD1,0.878149880012338,-0.00896449990285057,0.00246874781131153,0.147877821548177,0.121850119987662,0.0813040186837831,0.0133392885163325,0.504791376452835,Y
SPP1,0.0879911376881106,-0.130283203338798,0.0268536365286223,0.352962121082801,0.912008862311889,-0.00400872693114356,0.00246521267998703,0.11347144801461,Y
SET1,0.858090360234786,-0.0116585317161447,-0.00186924567648686,0.152765369620512,0.141909639765214,0.182691062409194,-0.00220900199166007,0.411352415993685,Y
HFI1,0.207843943354389,-0.212535654663075,-0.00794796475046933,0.888030867164118,0.792156056645611,0.0275905026173099,-0.000971778038064859,0.252982956184133,Y
SWD3,0.135771288620551,0.160190771905025,-0.00828939475912589,0.537398276455034,0.864228711379449,-0.0137086168881526,0.00123322300814845,0.159758821925218,Y
SDC1,0.873540474954346,-0.00642018715607136,0.00136119834404366,0.139372336856099,0.126459525045654,0.0244446464437876,0.023808322936785,0.435842211471744,Y
BIM1,0.849152466519541,-0.00395387204758831,-0.00386649702000649,0.0954932990282477,0.150847533480459,0.166662631226964,-0.0154480094701983,0.35311158016425,Y
BUD13,0.125986969493141,-0.114741208929515,0.00425268775345333,0.407895399597152,0.874013030506859,0.00251754445277939,-0.00011348448366113,0.142818059343301,Y
BRR1,0.135277966487795,-0.0707884726814307,0.0113693918152795,0.311388657875334,0.864722033512205,0.00107647582843732,-0.000889810255676389,0.0844325086178569,Y
BUD22,0.864537985034696,-0.00133119236182677,-0.000200302316048872,0.156684724662328,0.135462014965304,-0.0413249620614566,0.0114840113897417,0.480037141458273,Y
BUD20,0.146970669613791,0.120167372189121,-0.0056719522202227,0.367975427603293,0.853029330386209,0.00441147717230701,-0.00173685339886348,0.0978068921197567,Y
IBA57,0.833184189782768,0.0148804833048055,-0.00968869625493991,0.193315180308043,0.166815810217232,0.284392259183863,-0.0814170288261188,0.76880740801378,Y
CAR2,0.0656576004393074,0.0914955933265064,-0.0489540523200657,0.527636132240167,0.934342399560693,-0.00381697667902094,-0.000165167737054516,0.0838111900693864,Y
SRV2,0.799774044552248,-0.0130143719326976,-0.0207961396127724,0.264606950750813,0.200225955447752,0.689105101387294,-0.113852786141007,0.880057558525144,Y
BUD21,0.0854530386544461,-0.0435577106741709,0.0384225780965475,0.497834499309151,0.914546961345554,-0.00116762258433558,0.00193792775156007,0.116435415070668,Y
CCE1,0.202598479838279,0.170326332377599,-0.0307309360923896,0.377005864595057,0.797401520161721,0.00666920555428789,-0.00817502940124535,0.114972657078196,Y
CDC40,0.131951520985726,-0.153186803956707,-0.0208963308555345,0.690879239006588,0.868048479014274,0.00771472909495323,0.00137495246145502,0.217991446767412,Y
SSN3,0.857880967169316,0.0107521365511392,-0.00480123962608711,0.239506102207737,0.142119032830684,0.644130413018554,-0.129845008572953,1.10441761264449,Y
CGR1,0.925187208287964,0.0102589143912778,-0.00291415102755933,0.100397397933893,0.0748127917120357,0.0977882490887357,0.028299338597912,0.494109405733686,Y
CHL1,0.12934496553319,0.0945695175299014,-0.000712942379033824,0.218163057052908,0.87065503446681,-0.00629547809854595,-0.000566847656827368,0.0651741509064722,Y
CGI121,0.892276874286409,-0.00277053197872965,0.00201988031916898,0.141932026598999,0.107723125713591,-0.0156487571926614,0.0339757657401231,0.466953362805801,Y
CIN8,0.826932689668056,-0.00715481913757276,-0.00454401836400651,0.097875856803464,0.173067310331944,0.148782550012441,-0.0059250107693583,0.35317281783593,Y
CKB1,0.9118932013698,-0.000733330384267679,0.0034704605932572,0.112643217720187,0.0881067986302004,-0.222388796499547,-0.00819149152724365,0.573491286189291,Y
CKA2,0.146699381418838,0.164021912673059,-0.00455757191527598,0.578481563101134,0.853300618581162,0.000266307751465864,-0.006601712188471,0.118690593330896,Y
CLB5,0.865388686649315,0.000255777640278113,-0.00257603061291993,0.099929087405064,0.134611313350685,0.107294941072897,-0.0017554781572954,0.3208155682291,Y
CLB2,0.108618952510874,0.00915316361346258,-0.00895886762415149,0.31637750280637,0.891381047489126,0.00268495297734155,-0.00446103597579219,0.0766649789475511,Y
CKB2,0.910898429228824,-0.00150554670952458,0.00315064512549785,0.136514592865943,0.089101570771176,-0.229237549977858,-0.018130115470221,0.646474592005163,Y
CLA4,0.0711730905388718,0.0195000607649898,-0.0378562555392335,0.417713695388122,0.928826909461128,7.31032141535473e-05,-0.00146347206883009,0.0786611965178059,Y
CLB1,0.903265932172827,-0.00340554139774492,0.00148043962484973,0.0793960026027394,0.0967340678271727,-0.131745696604478,0.014247703262547,0.393337637530416,Y
CLN3,0.254951150442724,0.0537645003086558,-0.00820161987297767,0.260288564421029,0.745048849557276,-0.00719684312651149,-0.00360507645395803,0.0878893727058635,Y
CLN2,0.0705855195904833,0.0323115106233327,0.0184510673212605,0.304957058421777,0.929414480409517,-0.00456000156387805,0.00118027167211966,0.0559810381250404,Y
CSM1,0.919506973334514,0.00809647759042288,-0.00579299604324999,0.0948422486565269,0.0804930266654856,0.419503036222425,-0.06450953845766,0.530857159789384,Y
CTF18,0.818066342578628,-0.00920767839251775,-0.00469697153830768,0.110973226704655,0.181933657421372,0.201202986396529,-0.0151400603871224,0.366825788940662,Y
CTF19,0.916021565027282,-0.00349695373054515,-0.00161721020103876,0.0652040704466992,0.0839784349727181,0.160837037893509,-0.0122322824409333,0.269793909976731,Y
CSM3,0.0374431367357867,-0.0436097280115337,0.00674184401401452,0.359215651172898,0.962556863264213,3.04291731425233e-05,0.00237611083764659,0.0797623714748357,Y
CTF4,0.780357773880549,-0.0106174116922016,-0.00559868273506729,0.13389545716584,0.219642226119451,0.192121898486295,-0.0166958561948532,0.422177184752789,Y
SSN8,0.14040072696602,0.516146443129359,-0.110837310784228,0.979983293226436,0.85959927303398,0.00473028596890299,-0.00186610026004492,0.190961395921317,Y
DCC1,0.83027156790915,0.00064467417901474,-0.00389348057252786,0.106866126147945,0.16972843209085,0.180966037514471,-0.0129793128525498,0.33881632435255,Y
DBR1,0.0725482560593076,0.120450808576585,0.0072876669159601,0.388043670923423,0.927451743940692,0.0063625024266913,-0.00506123995222647,0.107758483958856,Y
DCS1,0.895960777027546,-0.000874244244803158,-0.00452591134601239,0.0836733657370416,0.104039222972454,0.0415870504550397,-0.0320871054772343,0.40653302052551,Y
DBP3,0.135687717679562,0.158362786071301,-0.0096975680290242,0.452276950282451,0.864312282320438,0.00239305069384154,-0.00166819680512818,0.122957246902136,Y
DDR48,0.0682838526319,-0.0867736799641102,-0.00409825672347439,0.633088229958074,0.9317161473681,-0.00270082061702107,-0.000249807654411259,0.0731394502248173,Y
DHH1,0.87192062725953,0.00701562881324101,-0.000976807992012722,0.207336913040889,0.12807937274047,0.142904840295482,-0.0110726815959521,0.633706799191679,Y
DIG1,0.864406521223534,-0.013476384740497,0.00651386864950325,0.170050020327798,0.135593478776466,-0.199560928883294,0.0275464504118152,0.718002763268085,Y
DEG1,0.88239794959533,0.00475784695643756,-0.0013969783272135,0.135120007295937,0.11760205040467,0.04868486116965,-0.0163160403889985,0.537304839324995,Y
DIG2,0.945773445573838,0.00111849679883595,-6.72920959931745e-05,0.0568741912883138,0.0542265544261622,0.0501396261140005,-0.0147395781253811,0.222111788208047,Y
DSS1,0.920278686343142,0.00452038282737099,-0.00189930556673355,0.0711122654468144,0.0797213136568575,-0.0553016980474337,-0.00254897343674001,0.297200602868946,Y
DPB3,0.883342901319963,0.000699181474214153,0.00132574807290426,0.0884464216237874,0.116657098680037,0.104176268480739,-0.0205837958766559,0.294685165755402,Y
DST1,0.922601739775803,-0.000698029510502149,0.0022237035943734,0.0970680097716977,0.0773982602241971,-0.0685466909229329,0.00775809783119668,0.39771473219476,Y
DUN1,0.879648126848743,-0.00559652363972927,-0.00612857352614255,0.092657865871674,0.120351873151257,0.221287966308717,-0.0527545708290316,0.398590652823609,Y
EBS1,0.137013909755203,0.137809852322965,-0.00822461068400684,0.234388855228953,0.862986090244797,-0.0123604579177104,-0.00419068139827812,0.0825351338034715,Y
EDC1,0.0747870629099961,-0.0718770379413702,0.0140199285955168,0.478612707903861,0.925212937090004,-0.00292824015734142,0.000422733261186895,0.0905434306915838,Y
EFG1,0.841266483306993,0.00280356039487836,0.00443874368744816,0.118097956322089,0.158733516693007,0.0591903670075169,-0.00585876669612158,0.460951884175528,Y
ELG1,0.0819048187664131,0.0031394479303994,0.0029540606141181,0.334998064293312,0.918095181233587,0.000908631000582109,0.000162385640311705,0.0705131916473391,Y
ELF1,0.088164537979362,-0.0853680930900718,-0.0281520638750006,0.550830974961994,0.911835462020638,0.00935981092239036,-0.00395603046867135,0.175767802706191,Y
ELM1,0.115650735433089,0.19516571008243,-0.0638621747582299,0.448636745409039,0.884349264566911,0.000902769378407803,-0.00696660317071138,0.124115592513115,Y
ERF2,0.075294811821208,0.0979703809570572,-0.00457582720702661,0.382023229856544,0.924705188178792,0.00469912038528586,-0.000244521859225404,0.0721693853210748,Y
ERG2,0.864394216094671,-0.00274030426364928,-0.00383307947190612,0.11475207032797,0.135605783905329,0.272088971009045,-0.0458883009101649,0.600689696719022,Y
EST1,0.823074087184537,-0.00612832745176159,-0.00259397535765784,0.0629828977509181,0.176925912815463,0.0197116916778358,0.0110525467911178,0.222255550829854,Y
EXO1,0.928709053102315,-0.00106144162616069,-0.00219469489234454,0.0748370198551998,0.0712909468976854,0.0394784122088313,0.0172069713346095,0.501494437358745,Y
FAB1,0.91684253752884,0.00587239875697495,-0.00541239162422267,0.102024084222178,0.0831574624711595,0.182764356967438,-0.0879469039857457,0.495670767832078,Y
FKS1,0.833043357032717,0.00594325525796805,-0.00548687752054195,0.131354232063643,0.166956642967283,0.254996610647762,-0.0240852843632839,0.529562676061872,Y
GEP3,0.80632630591696,0.00995289299759775,-0.0151315397522089,0.184459345347449,0.19367369408304,0.375745623919376,-0.0690967261424531,0.639958294562999,Y
FIN1,0.949692610867627,0.000936355230569834,0.000444728925757704,0.0673395104873124,0.0503073891323729,0.0510942681043337,0.0231449141135397,0.440454036040617,Y
FRA2,0.052183632542971,0.0992225890969406,-0.0865982740821714,0.475482577013678,0.947816367457029,-0.000400743268744854,-0.00122547083683296,0.046127032942318,Y
GAL80,0.982813903981069,-0.00213643642550549,-0.00100329318205427,0.0652578437938815,0.0171860960189312,0.197317563772532,-0.00347623011134826,0.782817272405659,Y
FUS3,0.0890826918329474,0.00119684202333091,0.0563374380572514,0.641950672297249,0.910917308167053,-0.00705758251701892,0.00365091686203245,0.128861306767064,Y
GCR2,0.81864376191536,-0.000965823283057842,-0.000465350790747566,0.13875195990619,0.18135623808464,0.0677448957759635,-0.00786856197222338,0.480735207378444,Y
GPA2,0.845913307687475,0.00510302032083477,-0.00305050823342079,0.09364551080187,0.154086692312525,0.173195469530214,0.0128931045487167,0.459843492605992,Y
GPR1,0.154909951205545,0.201108852849896,-0.0193767467810649,0.61840007210731,0.845090048794455,0.0092214015676698,-0.00839462676380167,0.136444215490771,Y
GPG1,0.0677588899632312,-0.167816607984564,0.0397438690607556,0.323411032211554,0.932241110036769,0.00153543981125482,-0.000281793269045736,0.100899995894102,Y
GPH1,0.869467035321258,-0.00444973318633279,0.00244193546270539,0.0833880848680122,0.130532964678742,-0.110303864301735,0.0116777971696843,0.378714344890361,Y
GIS4,0.923993290933507,-0.00154417226706783,-0.00280005124182065,0.0865825187550002,0.0760067090664928,0.154150971155485,-0.030590632960589,0.477541022188511,Y
GTR1,0.879488995104157,0.00599768043818775,-0.00292008837170526,0.0882854419668688,0.120511004895843,0.0424101499290745,-0.00189175430586057,0.524978726707761,Y
GSY2,0.940222387710753,0.00615276850845182,-0.00030594249559015,0.0844226149599445,0.0597776122892472,0.0324776885809237,-0.00278022398026462,0.392717155516769,Y
GSY1,0.963332668232081,0.00757305089961604,0.00017741274138178,0.0781691179076776,0.0366673317679189,-0.056265409478812,-0.0107688184731789,0.365457403508095,Y
HAP4,0.944172878739809,0.00102997631116226,-0.00123733351175884,0.104818948104001,0.0558271212601912,-0.0104783958996971,-0.0777462191760817,0.43020037181734,Y
HCR1,0.903552043133767,0.00493968688744018,-0.00251717969316004,0.142984542336759,0.0964479568662326,-0.0240995525900656,-0.0154711623283717,0.530037528176519,Y
HFM1,0.855687643155573,0.00373191918718211,-0.0057447629299377,0.103271224341568,0.144312356844427,0.161839805332366,-0.0659285450780594,0.405901211171813,Y
HHT1,0.0961270675887306,0.00718137738003331,-0.000920066367043833,0.231251120872648,0.903872932411269,-0.00253507540868161,0.000704828065024074,0.064799168445436,Y
HNT3,0.879132719181894,-0.000185961163586061,0.00115281448493949,0.0737320227300219,0.120867280818106,-0.057150534685982,0.0186792481163275,0.298076975270655,Y
HOG1,0.0938088194374143,-0.0828104172594469,0.0203682517326915,0.435178375550013,0.906191180562586,-0.00194968773686447,-0.000954456594077761,0.0752444108806212,Y
HHF1,0.899581513085491,-0.00380129898570772,0.00015099210627783,0.0759621841331328,0.100418486914509,0.102858460540992,-0.0105388525794264,0.217767815729293,Y
HOS3,0.0779805548940747,-0.120325634440737,-0.0102222273123601,0.352472272565692,0.922019445105925,0.0072351619717424,-0.00203654458026918,0.0727980041652116,Y
HOM2,0.871655327394718,-0.00324654444755741,-0.0066818029424557,0.106446961591369,0.128344672605282,0.316061964963307,0.0059768753490479,0.505037955848836,Y
HUR1,0.825826750824895,-0.00106571325921152,-0.00587962755082851,0.146224576698825,0.174173249175105,0.2706573250097,-0.0289528128011335,0.52985589980119,Y
KKQ8,0.875057924768956,-0.000293840555673366,0.00224013761569907,0.0666322848427761,0.124942075231044,-0.0469624173760664,0.00648659997105776,0.293487544298844,Y
INP52,0.106387616741786,-0.200639372986703,0.0111919446428581,0.480733552333394,0.893612383258214,-0.0108194478098784,0.00231777759881707,0.118292789291039,Y
IRC3,0.801847906002291,0.00713989871992233,-0.0115648767990927,0.144850949639775,0.198152093997708,0.257679926582955,-0.062059169705361,0.486045702586325,Y
