gene	correlation	pvalue	ratio of responsive genes	description
ACO1	-0.0597260740035381	0.000542800988798699	0.840223678842212	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy
ADA2	-0.0155461034385252	0.80947391068913	0.127237859761276	Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes
ARG82	0.0426917831829247	0.554483888566452	0.0914752302208323	Inositol polyphosphate multikinase (IPMK), sequentially phosphorylates Ins(1,4,5)P3 to form Ins(1,3,4,5,6)P5; also has diphosphoinositol polyphosphate synthase activity; regulates arginine-, phosphate-, and nitrogen-responsive genes
ARP8	-0.0611555168328395	0.26796253766684	0.172977533499267	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity
ASC1	-0.00885554549874462	0.602037105862488	0.912634542627683	G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation
ASF1	0.0115720697790494	0.496022388157679	0.903899875027355	Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed; plays a role in regulating Ty1 transposition
BCY1	-0.109022116698981	0.0685215911122275	0.146953105309995	Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation
BMH1	-0.117223880978167	0.330267436680952	0.0344028894686547	14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling
BRE1	0.453132338169752	3.50041973471974e-05	0.0700464542866914	E3 ubiquitin ligase, forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control
BRE5	-0.25993318138318	0.00122073076571184	0.0984960306972391	Ubiquitin protease cofactor, forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A
BUD13	-0.219126951513494	0.00903744410166123	0.092281488465571	Subunit of the RES complex, which is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern
