gene	correlation	pvalue	description
ADD66	0.0763709315161719	5.37041213116785	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly
ASK10	0.10837710025757	10.1963741850678	Component of RNA polymerase II holoenzyme, phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; proposed to function in activation of the glycerol channel Fps1p; paralogous to Rgc1p
ATG32	0.0812477640268712	6.0024837242367	Mitochondrial outer membrane protein required to initiate mitophagy; recruits the autophagy adaptor protein Atg11p and the ubiquitin-like protein Atg8p to the mitochondrial surface to initiate mitophagy, the selective vacuolar degradation of mitochondria in response to starvation; can promote pexophagy when placed ectopically in the peroxisomal membrane
AZF1	0.114895683663093	11.3776390646755	Zinc-finger transcription factor, involved in induction of CLN3 transcription in response to glucose; genetic and physical interactions indicate a possible role in mitochondrial transcription or genome maintenance
BCS1	0.0734136639244171	5.00496804078524	Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane, and then delivers it to an assembly intermediate of respiratory Complex III in an ATP-dependent reaction; also required for assembly of the Qcr10p subunit; mutations in human homolog BCS1L linked to neonatal diseases
CAF40	-0.0845271046267543	6.44819859374113	Evolutionarily conserved subunit of the CCR4-NOT complex involved in controlling mRNA initiation, elongation and degradation; binds Cdc39p
CAR2	0.102560833003669	9.19956518452912	L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive
CHD1	0.0849145510313503	6.50196144264882	Chromatin remodeler that regulates various aspects of transcription; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes
CHK1	-0.0746975925308248	5.16197979013415	Serine/threonine kinase and DNA damage checkpoint effector, mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase
CSM1	0.0843221441408772	6.41985221551355	Nucleolar protein that forms a complex with Lrs4p and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation
DAL81	0.0805006465544125	5.90326933407939	Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism
DBR1	-0.073203100421347	4.97945949397861	RNA lariat debranching enzyme, involved in intron turnover; required for efficient Ty1 transposition
DMA1	0.0815767084318386	6.04644023995244	Ubiquitin-protein ligase (E3); controls septin dynamics and the spindle position checkpoint (SPOC) along with functionally redundant ligase Dma2p by regulating the recruitment of Elm1p to the bud neck; regulates levels of the translation initiation factor eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ortholog of human RNF8 protein, with sequence similarity to human Chfr; contains FHA and RING finger domains
ELA1	-0.0740854165260017	5.08680129591084	Elongin A; F-box protein that forms a heterodimer with Elc1p and is required for ubiquitin-dependent degradation of the RNA Polymerase II subunit Rpo21p; subunit of the Elongin-Cullin-Socs (ECS) ligase complex
ELC1	-0.079194786926691	5.73192886252826	Elongin C, conserved among eukaryotes; forms a complex with Cul3p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; plays a role in global genomic repair
EXO1	0.0950457927045855	7.99094042311293	5'-3' exonuclease and flap-endonuclease involved in recombination, double-strand break repair and DNA mismatch repair; member of the Rad2p nuclease family, with conserved N and I nuclease domains
FKH1	0.0933593935733026	7.73194417367217	Forkhead family transcription factor with a minor role in the expression of G2/M phase genes; negatively regulates transcriptional elongation; positive role in chromatin silencing at HML and HMR; regulates donor preference during switching
GIS1	-0.0788667151796563	5.68929696292754	JmjC domain-containing histone demethylase and transcription factor; involved in expression of genes during nutrient limitation; negatively regulates DPP1 and PHR1; activity is modulated by limited proteasome-mediated proteolysis; has a JmjC and a JmjN domain in the N-terminal region that interact, promoting Gis1p stability and proper transcriptional activity; contains transactivating domains TAD1 and TAD2 downstream of the Jmj domains and a C-terminal DNA binding domain
GPB2	0.0749162598909638	5.18897276234829	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
GTR1	0.0875844349400139	6.87879105148676	Cytoplasmic GTP binding protein and negative regulator of the Ran/Tc4 GTPase cycle; component of GSE complex, which is required for sorting of Gap1p; involved in phosphate transport and telomeric silencing; similar to human RagA and RagB
HAP1	0.0956780994735093	8.08920184963726	Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus
HPC2	0.0807830086693005	5.94066443383745	Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; mutants display synthetic defects with subunits of FACT, a complex that allows passage of RNA Pol II through nucleosomes
IRC25	0.0839064480614889	6.36256116712933	Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions
ITT1	0.117849710462087	11.9353709730574	Protein that modulates the efficiency of translation termination, interacts with translation release factors eRF1 (Sup45p) and eRF3 (Sup35p) in vitro, contains a zinc finger domain characteristic of the TRIAD class of proteins
KAP122	-0.0808529101790616	5.94994100481536	Karyopherin beta, responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance
LCB5	0.107941412767171	10.1198405279906	Minor sphingoid long-chain base kinase, paralog of Lcb4p responsible for few percent of the total activity, possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules
LEO1	0.0832509605935611	6.27276732699544	Component of the Paf1 complex; which associates with RNA polymerase II and is involved in histone methylation; plays a role in regulating Ty1 transposition; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay
MAC1	0.0891571648245118	7.10596814179909	Copper-sensing transcription factor involved in regulation of genes required for high affinity copper transport
MEI5	0.0785462448653713	5.64781325422959	Meiosis specific protein involved in DMC1-dependent meiotic recombination, forms heterodimer with Sae3p; proposed to be an assembly factor for Dmc1p
MFT1	-0.0788512622180015	5.6872929963537	Subunit of the THO complex, which is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance
MMS1	0.124368694508355	13.2159172705915	Subunit of an E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase, preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay
MRE11	0.078780128090722	5.67807295420406	Subunit of a complex with Rad50p and Xrs2p (MRX complex) that functions in repair of DNA double-strand breaks and in telomere stability, exhibits nuclease activity that appears to be required for MRX function; widely conserved
MSH2	0.0963902573538789	8.2006254534357	Protein that forms heterodimers with Msh3p and Msh6p that bind to DNA mismatches to initiate the mismatch repair process; contains a Walker ATP-binding motif required for repair activity; Msh2p-Msh6p binds to and hydrolyzes ATP
MSI1	0.0792996664466089	5.74559268510386	Subunit of chromatin assembly factor I (CAF-1); chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of the DNA damage checkpoint after DNA repair; and chromatin dynamics during transcription; Msi1p localizes to both nucleus and cytoplasm and has an independent role as a negative regulator of the RAS/cAMP pathway via sequestration of Npr1p kinase
MUB1	0.0732605008997247	4.98640649231074	MYND domain-containing protein required for ubiquitination and turnover of Rpn4p; interacts with Ubr2p (E3) and indirectly with Rad6p (E2); short-lived protein degraded in a Ubr2p/Rad6p dependent manner; similar to the A. nidulans samB gene
MUM2	0.0871766913686372	6.82052340256488	Cytoplasmic protein essential for meiotic DNA replication and sporulation; interacts with Orc2p, which is a component of the origin recognition complex
NUP120	-0.0828295403424734	6.21539001054763	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP160
PBA1	0.0795292032203084	5.77555627392566	Protein involved in 20S proteasome assembly; forms a heterodimer with Add66p that binds to proteasome precursors; similar to human PAC1 constituent of the PAC1-PAC2 complex involved in proteasome assembly
PEX22	-0.0821046335849907	6.1173366685734	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation
PML39	-0.0815236195271121	6.03933468365567	Protein required for nuclear retention of unspliced pre-mRNAs along with Mlp1p and Pml1p; anchored to nuclear pore complex via Mlp1p and Mlp2p; found with the subset of nuclear pores farthest from the nucleolus; may interact with ribosomes
PMS1	0.0864998365079166	6.72437113448807	ATP-binding protein required for mismatch repair in mitosis and meiosis; functions as a heterodimer with Mlh1p, binds double- and single-stranded DNA via its N-terminal domain, similar to E. coli MutL
POG1	0.0722857742864041	4.86912320372203	Nuclear chromatin-associated protein of unknown function; overexpression promotes recovery from pheromone induced arrest and suppresses the stress sensitivity caused by a mutation in the E3 ubiquitin ligase Rsp5p; binds upstream of BAR1 and cell cycle-related genes; potential Cdc28p substrate; SBF regulated
PSY2	0.0747735071007706	5.17134259784178	Subunit of protein phosphatase PP4 complex; active complex is composed of catalytic subunit Pph3p and Psy2p, with Psy4p apparently providing additional substrate specificity in some cases; regulates recovery from the DNA damage checkpoint and also the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair; Pph3p and Psy2p localize to foci on meiotic chromosomes; putative homolog of mammalian R3
