gene	correlation	pvalue	ratio of responsive genes	description
BRE1	0.528556089924421	6.55202355997392	0.0709072332723497	E3 ubiquitin ligase, forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control
BUD22	-0.458918759664914	6.86899034656541	0.0812290734562192	Protein required for 18S rRNA maturation and small ribosomal subunit biogenesis; cosediments with pre-ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern
CAC2	0.310329063002539	6.52925622034783	0.133627629292803	Subunit of chromatin assembly factor I (CAF-1), with Rlf2p and Msi1p; chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of the DNA damage checkpoint after DNA repair; and chromatin dynamics during transcription
CCR4	-0.0922326625557891	6.55349057036272	0.72417462173992	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
DEG1	0.367653793518767	5.69623478243319	0.0835365128596838	tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm; non-essential for viability
ERG2	0.0939877898705752	7.32161832365517	0.886014467221316	C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis
GPR1	-0.0860178416566511	6.38911445441821	0.914960264737709	Plasma membrane G protein coupled receptor (GPCR) that interacts with the heterotrimeric G protein alpha subunit, Gpa2p, and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis
GRR1	-0.1000328801251	8.01119300911337	0.846741535752319	F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification
HMO1	-0.384287192442132	5.99133061427576	0.101622691882128	Chromatin associated high mobility group (HMG) family member involved in genome maintenance; rDNA-binding component of the Pol I transcription system; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase
IRE1	-0.443254787155551	5.21433920999855	0.0675938851625399	Serine-threonine kinase and endoribonuclease; transmembrane protein that mediates the unfolded protein response (UPR) by regulating Hac1p synthesis through HAC1 mRNA splicing; Kar2p binds inactive Ire1p and releases from it upon ER stress
KAR3	0.475518750353989	8.42309706660839	0.0605387818884958	Minus-end-directed microtubule motor that functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate
LOC1	0.443876814846063	5.37818083471883	0.0348699123899386	Nuclear protein involved in asymmetric localization of ASH1 mRNA; binds double-stranded RNA in vitro; constituent of 66S pre-ribosomal particles
LSM7	0.0965544057983549	8.07583937303526	0.894949706161785	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA
LTV1	-0.360454968077435	5.95551066778741	0.106743622793545	Component of the GSE complex, which is required for proper sorting of amino acid permease Gap1p; required for ribosomal small subunit export from nucleus; required for growth at low temperature
MED1	-0.131025542752408	13.9986674433919	0.928296479683472	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
MGA2	0.105155569383779	9.18994147598137	0.899353060802962	ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting
NAM7	0.119413010887555	10.6521229020713	0.783561041465759	ATP-dependent RNA helicase of the SFI superfamily involved in nonsense mediated mRNA decay; required for efficient translation termination at nonsense codons and targeting of NMD substrates to P-bodies; involved in telomere maintenance
NMD2	0.105643157229636	8.68198390544701	0.811557532615583	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance
NUP133	-0.127330294966717	13.3223718052774	0.931223685270089	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP133
NUP170	-0.357903696885496	6.12190816928211	0.0921381891920001	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC assembly and nucleocytoplasmic transport; has similarity to Nup157p; both Nup170p and NUP157p are similar to human Nup155p
NUP60	-0.128526133776077	13.5648294163127	0.915276603270427	FG-nucleoporin component of central core of the nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; both NUP1 and NUP60 are homologous to human NUP153
RAM1	-0.164104171317988	21.1427899801763	0.875209906846871	Beta subunit of the CAAX farnesyltransferase (FTase) that prenylates the a-factor mating pheromone and Ras proteins; required for the membrane localization of Ras proteins and a-factor; homolog of the mammalian FTase beta subunit
RPS0B	-0.115583310539005	11.1635988948353	0.877085621528342	Protein component of the small (40S) ribosomal subunit, nearly identical to Rps0Ap; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal
RRG9	-0.103929887025936	8.81528576262692	0.869083370983302	Protein of unknown function; null mutant lacks mitochondrial DNA and cannot grow on glycerol; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
RTF1	0.582059411111019	4.84520894321975	0.0389275839405668	Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification, influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay
SET2	-0.110763448844074	10.1360249961751	0.904664483082151	Histone methyltransferase with a role in transcriptional elongation, methylates a lysine residue of histone H3; associates with the C-terminal domain of Rpo21p; histone methylation activity is regulated by phosphorylation status of Rpo21p
SFP1	-0.382536374768278	23.9427840795996	0.328383791297212	Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion
SIR3	0.414072893168435	6.0547065941107	0.0466373840653933	Silencing protein that interacts with Sir2p and Sir4p, and histone H3 and H4 tails, to establish a transcriptionally silent chromatin state; required for spreading of silenced chromatin; recruited to chromatin through interaction with Rap1p
SIT4	-0.286152945988231	5.95020899244374	0.153647315221821	Type 2A-related serine-threonine phosphatase that functions in the G1/S transition of the mitotic cycle; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization
