,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
MRC1,1.0,-0.24314,2.846e-07,-0.020300,1.265e-08,1.896e-75,6.544e-79,71.931,0.0006484,0.87861,1.141e-06
SAS2,1.0,-0.17165,4.989e-07,-0.129072,8.380e-07,6.666e-39,4.373e-42,35.385,0.0008640,0.05288,2.751e-07
SIF2,1.0,-0.21554,2.789e-06,-0.060228,1.790e-06,2.056e-32,5.369e-35,28.896,0.0011980,0.09445,3.332e-06
TIF4631,1.0,-0.22345,6.315e-07,-0.079111,4.678e-07,2.244e-31,5.793e-35,27.858,0.0007570,0.06474,6.945e-07
SNT1,1.0,-0.21447,2.254e-06,-0.059894,1.337e-06,1.586e-28,2.752e-31,25.008,0.0014407,0.08980,2.243e-06
SAS4,1.0,-0.17685,8.491e-07,-0.077445,7.492e-07,7.224e-27,4.659e-30,23.350,0.0007578,0.08550,8.728e-07
CKB1,1.0,-0.13551,1.581e-07,-0.013755,6.325e-09,3.138e-24,3.550e-28,20.712,0.0007494,0.90910,7.575e-07
RIM1,1.0,-0.18314,1.735e-06,-0.083908,1.898e-06,1.426e-23,2.202e-26,20.055,0.0011642,0.12893,3.445e-06
PAT1,1.0,-0.21267,3.395e-06,-0.094909,2.845e-06,9.296e-23,1.680e-25,19.240,0.0010960,0.06630,2.077e-06
IRE1,1.0, 0.20756,4.281e-06, 0.047844,1.669e-06,6.633e-21,1.340e-23,17.387,0.0010597,0.11159,4.503e-06
USA1,1.0,-0.18569,2.193e-06,-0.031183,8.488e-07,1.484e-20,2.328e-23,17.037,0.0009281,0.06196,1.877e-06
UBP6,1.0, 0.18426,5.164e-08, 0.046726,3.814e-08,6.686e-20,2.657e-24,16.384,0.0007656,0.06791,5.164e-08
TIP41,1.0, 0.17400,1.239e-06, 0.036194,7.117e-07,1.483e-19,1.420e-22,16.038,0.0010996,0.08670,1.909e-06
SBP1,1.0,-0.15507,2.271e-07,-0.064473,5.314e-07,1.940e-19,4.742e-23,15.921,0.0007803,0.05781,7.531e-07
SET1,1.0,-0.16236,1.073e-06,-0.049070,6.829e-07,2.907e-19,1.585e-22,15.745,0.0007207,0.12217,3.542e-06
NPR2,1.0,-0.16815,5.685e-07,-0.037562,2.852e-07,6.701e-19,2.578e-22,15.382,0.0007541,0.06200,4.894e-07
STP1,1.0,-0.15732,4.111e-07,-0.090066,8.735e-07,1.371e-18,4.854e-22,15.072,0.0007518,0.10559,1.738e-06
UBP8,1.0,-0.17505,5.139e-06,-0.028439,1.158e-06,1.916e-17,3.776e-20,13.926,0.0011405,0.13532,7.680e-06
MKK2,1.0, 0.16547,2.457e-06, 0.027585,7.760e-07,3.056e-17,3.421e-20,13.724,0.0007598,0.11157,4.516e-06
KIN82,1.0,-0.17611,7.379e-08,-0.026347,1.476e-08,7.489e-17,1.142e-21,13.334,0.0007566,0.12109,9.428e-08
RIM11,1.0, 0.16148,1.027e-06, 0.036521,5.087e-07,2.096e-16,8.431e-20,12.887,0.0008063,0.09511,2.201e-06
RTF1,1.0,-0.19864,1.851e-06,-0.077201,1.905e-06,2.543e-16,2.463e-19,12.803,0.0008674,0.07596,2.336e-06
ZAP1,1.0,-0.14442,8.603e-07,-0.053479,7.131e-07,4.205e-16,2.369e-19,12.585,0.0009540,0.12526,2.084e-06
IBA57,1.0,-0.15163,3.719e-07,-0.080638,5.246e-07,7.828e-16,1.530e-19,12.315,0.0007495,0.14972,1.545e-06
UBP16,1.0, 0.15182,5.978e-07, 0.035172,3.483e-07,9.778e-16,1.916e-19,12.218,0.0007199,0.09902,1.804e-06
PDR3,1.0, 0.16339,2.530e-07, 0.028416,2.086e-07,1.189e-15,4.216e-21,12.134,0.0007602,0.05472,1.121e-06
