,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
LSM7,0.5, 0.22071,1.279e-05, 0.033512,9.275e-07,2.446e-29,1.484e-31,25.878,0.0026921,0.8695,2.775e-05
SIR3,1.0, 0.15046,0.000e+00, 0.015280,0.000e+00,7.392e-18,1.897e-23,14.398,0.0005680,0.9372,0.000e+00
BMH1,1.0,-0.13787,2.108e-07,-0.018260,1.687e-08,6.814e-15,5.003e-19,11.434,0.0005681,0.9369,1.265e-06
UBR2,1.0,-0.14997,3.834e-06,-0.016395,2.582e-07,2.297e-14,2.908e-17,10.906,0.0004950,0.6732,3.254e-05
LSM6,1.0, 0.15244,6.139e-06, 0.026750,6.111e-07,7.273e-14,1.414e-16,10.405,0.0011292,0.8580,1.486e-05
LSM1,1.0, 0.14053,5.164e-08, 0.024751,5.164e-09,1.023e-13,1.989e-18,10.258,0.0005681,0.9481,5.164e-07
ATG10,1.0, 0.13678,5.420e-07, 0.010910,5.164e-09,2.705e-13,4.725e-17, 9.835,0.0005907,0.8717,3.479e-06
SRO9,1.0,-0.13053,1.265e-06,-0.021954,5.692e-08,7.258e-13,2.182e-16, 9.406,0.0005490,0.8887,9.803e-06
TIP41,1.0,-0.12123,2.846e-07,-0.010520,3.162e-09,1.668e-11,1.987e-15, 8.045,0.0005836,0.9462,1.265e-06
RCE1,0.2,-0.12146,7.071e-08,-0.011164,7.071e-09,2.176e-11,7.071e-17, 7.929,0.0005657,0.7953,0.000e+00
MUD2,1.0,-0.11533,3.162e-08,-0.009821,3.120e-08,4.011e-11,1.061e-15, 7.664,0.0005690,0.8941,1.897e-06
KDX1,1.0, 0.13407,4.209e-06, 0.008147,1.498e-07,5.539e-11,7.833e-14, 7.524,0.0008393,0.8202,1.541e-05
SIR4,1.0, 0.11455,4.216e-08, 0.012060,8.756e-09,6.515e-11,1.305e-15, 7.453,0.0005665,0.9484,4.216e-07
GRR1,1.0,-0.12722,1.294e-06,-0.031143,1.870e-07,2.266e-10,9.592e-14, 6.912,0.0006462,0.8365,2.582e-06
GAT2,1.0, 0.11229,1.581e-07, 0.005473,3.162e-09,2.648e-10,9.429e-15, 6.844,0.0005738,0.9340,1.265e-06
SET2,1.0,-0.12098,7.709e-07,-0.015296,4.111e-08,2.697e-10,6.761e-14, 6.836,0.0006544,0.8865,2.530e-06
URE2,1.0,-0.10958,4.830e-08,-0.012206,1.687e-08,3.896e-10,3.929e-15, 6.677,0.0005641,0.9188,8.433e-07
SSN3,1.0,-0.11286,3.381e-07,-0.026856,4.830e-09,4.809e-10,4.475e-14, 6.585,0.0005902,0.8996,1.449e-06
PAT1,1.0, 0.11543,5.164e-08, 0.023664,5.164e-09,5.135e-10,5.808e-15, 6.557,0.0005633,0.9468,0.000e+00
RPL16A,0.8, 0.11605,2.777e-07, 0.014772,2.222e-07,8.127e-10,6.080e-14, 6.357,0.0006187,0.8097,2.546e-05
