,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
LSM7,1.0, 0.22072,8.165e-08, 0.033512,6.325e-09,2.435e-29,7.927e-34,25.878,0.0003377,0.8695,4.830e-07
SIR3,1.0, 0.15046,0.000e+00, 0.015280,5.164e-09,7.392e-18,2.108e-23,14.396,0.0003373,0.9372,0.000e+00
BMH1,1.0,-0.13787,3.162e-08,-0.018260,0.000e+00,6.813e-15,2.923e-20,11.432,0.0003373,0.9369,0.000e+00
UBR2,1.0,-0.14997,3.834e-06,-0.016395,2.582e-07,2.297e-14,2.900e-17,10.904,0.0005146,0.6732,3.254e-05
LSM6,1.0, 0.15244,6.156e-06, 0.026750,6.111e-07,7.273e-14,1.417e-16,10.403,0.0008570,0.8580,1.486e-05
LSM1,1.0, 0.14053,4.216e-08, 0.024751,4.216e-09,1.023e-13,1.317e-18,10.255,0.0003368,0.9481,5.164e-07
ATG10,1.0, 0.13678,7.227e-07, 0.010910,4.216e-09,2.705e-13,6.321e-17, 9.833,0.0003236,0.8717,4.638e-06
SRO9,1.0,-0.13053,1.948e-06,-0.021954,8.695e-08,7.259e-13,3.321e-16, 9.404,0.0003291,0.8887,1.482e-05
TIP41,1.0,-0.12123,0.000e+00,-0.010520,0.000e+00,1.668e-11,6.992e-17, 8.043,0.0003379,0.9462,0.000e+00
RCE1,1.0,-0.12147,0.000e+00,-0.011164,0.000e+00,2.174e-11,4.216e-17, 7.928,0.0003373,0.7952,0.000e+00
MUD2,1.0,-0.11533,0.000e+00,-0.009821,4.830e-09,4.011e-11,9.189e-17, 7.662,0.0003373,0.8941,0.000e+00
KDX1,1.0, 0.13407,3.489e-06, 0.008147,1.223e-07,5.536e-11,6.467e-14, 7.522,0.0005367,0.8202,1.265e-05
SIR4,1.0, 0.11455,3.162e-08, 0.012060,6.325e-09,6.515e-11,9.960e-16, 7.451,0.0003363,0.9484,3.162e-07
GRR1,1.0,-0.12722,8.390e-07,-0.031143,1.191e-07,2.265e-10,6.168e-14, 6.910,0.0003395,0.8365,1.581e-06
GAT2,1.0, 0.11229,2.108e-07, 0.005473,4.216e-09,2.648e-10,1.188e-14, 6.842,0.0003436,0.9340,1.687e-06
