gene	correlation	pvalue	ratio of responsive genes	description
ABF2	0.0758874524870658	0.27830882147603	0.0541162741448398	Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation
ACO1	0.52056279773705	0	0.901303957041008	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy
ADA2	0.385539723147249	1.51349481133095e-23	0.185550188153053	Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes
ARG82	0.0979343581493218	2.76668091871234e-13	0.893935940782302	Inositol polyphosphate multikinase (IPMK), sequentially phosphorylates Ins(1,4,5)P3 to form Ins(1,3,4,5,6)P5; also has diphosphoinositol polyphosphate synthase activity; regulates arginine-, phosphate-, and nitrogen-responsive genes
ARP8	0.35668294311897	3.69328423564257e-22	0.211838732202491	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity
ASC1	0.335249175658034	1.95627215860591e-149	0.912084689588172	G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation
ASF1	0.389728439895836	1.05367197235349e-206	0.914689720823095	Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed; plays a role in regulating Ty1 transposition
BCY1	-0.551307695895033	2.82354970702509e-68	0.252186375273006	Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation
BRE1	0.163700298432552	1.4332760020533e-35	0.889042848066603	E3 ubiquitin ligase, forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control
BRE5	-0.219823584971611	0.000209442900923596	0.0988558959539973	Ubiquitin protease cofactor, forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A
BUD22	0.194902739483847	0.000582433866614514	0.114160591495561	Protein required for 18S rRNA maturation and small ribosomal subunit biogenesis; cosediments with pre-ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern
