gene	correlation	pvalue	description
ACE2	0.164687496687399	36.8209524836401	Transcription factor required for septum destruction after cytokinesis; phosphorylation by Cbk1p blocks nuclear exit of Ace2p during the M-to-G1 transition, causing its specific localization to daughter cell nuclei, and also increases Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of the RAM network that regulates cellular polarity and morphogenesis
ADD66	-0.181737817626717	44.7513309427955	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly
AFT1	-0.0754589086530428	8.27196748914564	Transcription factor involved in iron utilization and homeostasis; binds the consensus site PyPuCACCCPu and activates the expression of target genes in response to changes in iron availability; in iron-replete conditions activity is negatively regulated by Grx3p, Grx4p, and Fra2p, which regulate Aft1p translocation from the nucleus to the cytoplasm
AIM1	0.118836265750987	19.4882284751917	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
APC9	0.343739441080632	164.392897072563	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition
APQ12	-0.243360476418183	80.4510446632164	Protein required for nuclear envelope morphology, nuclear pore complex localization, mRNA export from the nucleus; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism
ARG80	-0.232500582006236	73.335649088026	Transcription factor involved in regulation of arginine-responsive genes; acts with Arg81p and Arg82p
ARG81	-0.057917814590865	5.12042247420681	Zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p
ARP6	0.074011083705092	7.9821143420075	Actin-related protein that binds nucleosomes; a component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A
ARX1	0.322156552757636	143.42494011734	Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit biogenesis; interacts directly with Alb1; responsible for Tif6 recycling defects in absence of Rei1; associated with the ribosomal export complex
ASH1	-0.160059254088075	34.8091764640984	Zinc-finger inhibitor of HO transcription; mRNA is localized and translated in the distal tip of anaphase cells, resulting in accumulation of Ash1p in daughter cell nuclei and inhibition of HO expression; potential Cdc28p substrate
ASK10	0.210374879752597	59.9438267686075	Component of RNA polymerase II holoenzyme, phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; proposed to function in activation of the glycerol channel Fps1p; paralogous to Rgc1p
ATG10	-0.251427249377788	85.9721970477442	Conserved E2-like conjugating enzyme that mediates formation of the Atg12p-Atg5p conjugate, which is a critical step in autophagy
ATG21	0.160903676510522	35.1717715650683	Phosphoinositide binding protein required for vesicle formation in the cytoplasm-to-vacuole targeting (Cvt) pathway; binds both phosphatidylinositol (3,5)-bisphosphate and phosphatidylinositol 3-phosphate; WD-40 repeat protein
ATG23	-0.298044435805057	121.956351080118	Peripheral membrane protein required for the cytoplasm-to-vacuole targeting (Cvt) pathway and efficient macroautophagy; cycles between the phagophore assembly site (PAS) and non-PAS locations; forms a complex with Atg9p and Atg27p
ATG32	-0.162627466872585	35.9181331379565	Mitochondrial outer membrane protein required to initiate mitophagy; recruits the autophagy adaptor protein Atg11p and the ubiquitin-like protein Atg8p to the mitochondrial surface to initiate mitophagy, the selective vacuolar degradation of mitochondria in response to starvation; can promote pexophagy when placed ectopically in the peroxisomal membrane
AZF1	-0.157572810798278	33.7530117788632	Zinc-finger transcription factor, involved in induction of CLN3 transcription in response to glucose; genetic and physical interactions indicate a possible role in mitochondrial transcription or genome maintenance
BCK1	-0.204225445945518	56.4803188081649	Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p
BCS1	0.0990573522672883	13.7613796506596	Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane, and then delivers it to an assembly intermediate of respiratory Complex III in an ATP-dependent reaction; also required for assembly of the Qcr10p subunit; mutations in human homolog BCS1L linked to neonatal diseases
BIM1	0.273466043792075	102.103081833788	Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriented abnormally
BMH1	0.0787352913527355	8.94779743562215	14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling
BRO1	0.18159112466168	44.6795919084185	Cytoplasmic class E vacuolar protein sorting (VPS) factor that coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to endosomes
BUD20	0.199976523470701	54.1519703135813	Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
CAF130	0.404662390533784	233.228393266329	Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation
CAF40	0.33313147676812	153.87545647705	Evolutionarily conserved subunit of the CCR4-NOT complex involved in controlling mRNA initiation, elongation and degradation; binds Cdc39p
CCE1	0.473562456038777	350	Mitochondrial cruciform cutting endonuclease, cleaves Holliday junctions formed during recombination of mitochondrial DNA
CDC26	0.385385931776587	209.830417691187	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition
CDH1	0.339839820548922	160.478385693323	Cell-cycle regulated activator of the anaphase-promoting complex/cyclosome (APC/C), which directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p
CGR1	0.260091810551254	92.1295880649084	Protein involved in nucleolar integrity and processing of the pre-rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress
CHA4	-0.128537724217775	22.6785062026146	DNA binding transcriptional activator, mediates serine/threonine activation of the catabolic L-serine (L-threonine) deaminase (CHA1); Zinc-finger protein with Zn[2]-Cys[6] fungal-type binuclear cluster domain
CHD1	-0.164725185740494	36.8375803578427	Chromatin remodeler that regulates various aspects of transcription; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes
CHK1	-0.339273112274644	159.914194457813	Serine/threonine kinase and DNA damage checkpoint effector, mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase
CHL1	0.215450928183707	62.8868435949393	Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome
CIN5	-0.312378665834053	134.475370575315	Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress and sequestered in the cytoplasm by Lot6p under reducing conditions
CIN8	0.276838941937671	104.709524780034	Kinesin motor protein involved in mitotic spindle assembly and chromosome segregation
CKA1	-0.224140056999722	68.102702013133	Alpha catalytic subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases
CKB1	-0.057944984168732	5.12470079374371	Beta regulatory subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases
CLB1	-0.29330744600639	117.973411240458	B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome
CLB2	0.144437682396904	28.45728927561	B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome
CLB5	0.235781228149868	75.4470226091958	B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1 phase
CLN3	0.178181256216352	43.0292755049816	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis
CMK1	0.154513713675148	32.477134686747	Calmodulin-dependent protein kinase; may play a role in stress response, many Ca++/calmodulin dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk2p and mammalian Cam Kinase II
CMK2	0.0587554049079999	5.25316958977475	Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk1p and mammalian Cam Kinase II
CSM1	0.334174725586038	154.891503479353	Nucleolar protein that forms a complex with Lrs4p and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation
CSM3	-0.108262706126482	16.2977428896957	Replication fork associated factor, required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis
CTF18	0.314107936363408	136.033696263942	Subunit of a complex with Ctf8p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion; may have overlapping functions with Rad24p in the DNA damage replication checkpoint
CTF19	0.194147172402051	51.0430747212173	Outer kinetochore protein, required for accurate mitotic chromosome segregation; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as a platform for kinetochore assembly
CTI6	-0.242983572644367	80.1980211354198	Protein that relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain
CUP9	0.0799338869829728	9.20194597726535	Homeodomain-containing transcriptional repressor of PTR2, which encodes a major peptide transporter; imported peptides activate ubiquitin-dependent proteolysis, resulting in degradation of Cup9p and de-repression of PTR2 transcription
DAL81	0.353117529694258	174.039419307006	Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism
DAT1	-0.0717702106994225	7.5440956872741	DNA binding protein that recognizes oligo(dA).oligo(dT) tracts; Arg side chain in its N-terminal pentad Gly-Arg-Lys-Pro-Gly repeat is required for DNA-binding; not essential for viability
DBP3	0.346698456957176	167.400947796288	RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype
DBR1	0.25441530381018	88.0689060626939	RNA lariat debranching enzyme, involved in intron turnover; required for efficient Ty1 transposition
DCC1	0.313752563548791	135.712600358279	Subunit of a complex with Ctf8p and Ctf18p that shares some components with Replication Factor C, required for sister chromatid cohesion and telomere length maintenance
DCS1	0.0997333561434722	13.9400419329386	Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; interacts with neutral trehalase Nth1p; required for growth on glycerol medium
DDR48	-0.159947483657765	34.7613309351222	DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS
DIG2	0.211442461567738	60.5564612660946	MAP kinase-responsive inhibitor of the Ste12p transcription factor, involved in the regulation of mating-specific genes and the invasive growth pathway; related regulators Dig1p and Dig2p bind to Ste12p
DLS1	0.062020607073025	5.78754919230784	Subunit of ISW2/yCHRAC chromatin accessibility complex along with Itc1p, Isw2p, and Dpb4p; involved in inheritance of telomeric silencing
DPB3	0.237721382598034	76.7111553077691	Third-largest subunit of DNA polymerase II (DNA polymerase epsilon), required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; mRNA abundance peaks at the G1/S boundary of the cell cycle
DPB4	0.0964148566407845	13.0745048325408	Shared subunit of DNA polymerase (II) epsilon and of ISW2/yCHRAC chromatin accessibility complex; involved in both chromosomal DNA replication and in inheritance of telomeric silencing
DST1	0.0583391019466423	5.18697030852081	General transcription elongation factor TFIIS, enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites
DUN1	0.345900067799523	166.58610662725	Cell-cycle checkpoint serine-threonine kinase required for DNA damage-induced transcription of certain target genes, phosphorylation of Rad55p and Sml1p, and transient G2/M arrest after DNA damage; also regulates postreplicative DNA repair
EAF3	0.0684644386682927	6.92138149588433	Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition
EAF5	0.167146377271511	37.9141053548342	Esa1p-associated factor, non-essential subunit of the NuA4 acetyltransferase complex
EAF6	0.284058021259745	110.413281508986	Subunit of the NuA4 acetyltransferase complex that acetylates histone H4 and NuA3 acetyltransferase complex that acetylates histone H3
EAF7	0.253280449179792	87.2692802240353	Subunit of the NuA4 histone acetyltransferase complex, which acetylates the N-terminal tails of histones H4 and H2A
EBS1	0.118564176901809	19.4023921228409	Protein involved in inhibition of translation and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors
EDC1	-0.109155616182663	16.5556824496151	RNA-binding protein, activates mRNA decapping directly by binding to the mRNA substrate and enhancing the activity of the decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress
EDE1	0.292806196086276	117.556378559384	Endocytic protein; involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death
EFG1	0.181950711815716	44.8555542277583	Essential protein required for maturation of 18S rRNA; null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha-factor arrest; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus
ELA1	0.322100285276676	143.372473076233	Elongin A; F-box protein that forms a heterodimer with Elc1p and is required for ubiquitin-dependent degradation of the RNA Polymerase II subunit Rpo21p; subunit of the Elongin-Cullin-Socs (ECS) ligase complex
ELC1	0.302864096021847	126.086939367687	Elongin C, conserved among eukaryotes; forms a complex with Cul3p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; plays a role in global genomic repair
ELG1	0.124857186717773	21.4384086146704	Subunit of an alternative replication factor C complex important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis
ELM1	0.405670857445377	234.495860913473	Serine/threonine protein kinase that regulates cellular morphogenesis, septin behavior, and cytokinesis; required for the regulation of other kinases; forms part of the bud neck ring
ELP2	0.188981953749401	48.3705054157428	Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; target of Kluyveromyces lactis zymocin
ENV11	0.152673607304564	31.7221441274513	Protein proposed to be involved in vacuolar functions; mutant shows defect in CPY processing and fragmented vacuoles; deletion mutant has increased glycogen accumulation and displays elongated buds; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
ERF2	0.298823834626457	122.618958003209	Subunit of a palmitoyltransferase, composed of Erf2p and Shr5p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; mutants partially mislocalize Ras2p to the vacuole
ESC8	-0.153989688143951	32.2611753259768	Protein involved in telomeric and mating-type locus silencing, interacts with Sir2p and also interacts with the Gal11p, which is a component of the RNA pol II mediator complex
EST1	0.0846982920051133	10.2488988777918	TLC1 RNA-associated factor involved in telomere length regulation as recruitment subunit of telomerase; has G-quadruplex promoting activity that is required for telomere elongation; possible role in activating telomere-bound Est2p-TLC1-RNA
ETP1	-0.0716471295477348	7.52040995199775	Putative protein of unknown function that is required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences
EUG1	-0.184595837059692	46.1612698161179	Protein disulfide isomerase of the endoplasmic reticulum lumen; EUG1 has a paralog, PDI1, that arose from the whole genome duplication; function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER
