,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
SAS2,0.9,-0.17455,8.333e-08,-0.131481,1.287e-07,2.082e-40,2.153e-44,36.891,6.216e-04,0.05299,5.000e-08
TIF4631,0.7,-0.22366,7.925e-07,-0.079426,6.072e-07,1.076e-31,4.150e-35,28.178,6.589e-04,0.06506,8.355e-07
ASF1,1.0,-0.21290,4.026e-02,-0.068622,3.005e-02,4.648e-31,7.484e-31,41.006,9.652e+00,0.35575,3.661e-01
SIF2,0.3,-0.21002,3.955e-06,-0.058592,2.475e-06,6.383e-30,2.283e-32,26.405,2.185e-03,0.09063,4.158e-06
SAS4,0.7,-0.18363,9.484e-07,-0.082198,8.536e-07,5.929e-29,4.429e-32,25.437,8.626e-04,0.08233,9.034e-07
CLB5,1.0,-0.16261,4.639e-03,-0.025189,1.412e-02,1.569e-28,2.527e-28,29.792,3.658e+00,0.66198,3.817e-01
SET1,0.6,-0.18513,8.981e-07,-0.060686,6.895e-07,2.114e-26,1.372e-29,22.885,6.893e-04,0.11022,2.550e-06
SNT1,0.7,-0.20201,1.215e-07,-0.055706,4.995e-08,1.408e-25,9.108e-30,22.061,6.624e-04,0.09326,1.113e-07
MRC1,1.0,-0.18196,7.557e-02,-0.027741,9.246e-03,1.694e-21,2.187e-21,49.168,2.718e+01,0.58153,3.982e-01
RIM1,0.3,-0.17367,5.774e-08,-0.078295,3.786e-08,1.683e-20,5.292e-25,16.983,8.171e-04,0.12748,1.000e-07
UBP6,0.6, 0.18196,1.072e-06, 0.046654,7.031e-07,2.352e-19,1.697e-22,15.838,8.859e-04,0.06583,1.021e-06
USA1,0.7,-0.18388,2.491e-06,-0.031070,9.922e-07,4.900e-19,8.735e-22,15.520,1.267e-03,0.05654,1.809e-06
SBP1,0.7,-0.15231,3.780e-08,-0.063166,3.606e-08,8.373e-19,1.457e-23,15.287,6.341e-04,0.05824,3.780e-08
SUS1,0.4,-0.15963,6.000e-07,-0.054129,8.434e-07,1.038e-18,4.917e-22,15.194,8.008e-04,0.10365,3.067e-06
SLX8,0.1,-0.16726,       NA,-0.075207,       NA,2.074e-18,       NA,14.893,       NA,0.06032,       NA
PAT1,0.3,-0.19671,1.155e-07,-0.084373,8.386e-08,4.375e-18,2.170e-22,14.569,2.309e-05,0.06519,1.000e-07
JNM1,0.4,-0.14348,0.000e+00,-0.037222,1.732e-08,1.640e-17,2.986e-22,13.995,5.838e-04,0.08861,8.165e-08
NPR2,0.2,-0.16344,7.071e-08,-0.035888,7.071e-09,1.972e-17,2.828e-22,13.915,1.004e-03,0.06216,7.071e-08
HIR2,0.1,-0.14757,       NA,-0.026652,       NA,2.513e-17,       NA,13.809,       NA,0.08092,       NA
STP1,0.6,-0.15290,7.528e-07,-0.087824,1.222e-06,3.200e-17,1.808e-20,13.705,9.109e-04,0.10194,2.051e-06
PDR3,0.5, 0.16831,4.472e-08, 0.029774,1.483e-08,4.330e-17,1.817e-22,13.573,7.050e-04,0.05495,5.477e-08
IRE1,0.4, 0.18723,7.034e-06, 0.042359,2.542e-06,4.859e-17,1.393e-19,13.523,1.069e-03,0.11783,7.484e-06
KIN82,0.5,-0.17427,8.944e-07,-0.026554,2.729e-07,5.802e-17,1.920e-20,13.446,5.237e-04,0.12161,1.778e-06
NUP133,0.6,-0.15193,6.463e-07,-0.070969,6.702e-07,1.034e-16,4.774e-20,13.195,8.019e-04,0.10388,1.276e-06
SAM3,0.5,-0.15377,1.544e-06,-0.041572,9.997e-07,1.039e-16,9.326e-20,13.193,5.986e-04,0.10462,3.344e-06
RAD26,0.5,-0.14952,2.387e-07,-0.043237,4.188e-07,5.022e-16,1.044e-19,12.509,7.355e-04,0.06647,1.165e-06
MKK2,0.5, 0.16023,4.472e-08, 0.026765,1.140e-08,7.772e-16,1.234e-20,12.319,7.677e-04,0.10707,7.071e-08
EAF7,0.5,-0.14498,4.472e-07,-0.054089,5.939e-07,1.172e-15,3.657e-19,12.141,6.374e-04,0.10935,1.924e-06
ZAP1,0.3,-0.14272,1.242e-06,-0.052933,9.993e-07,1.619e-15,1.308e-18,12.000,6.502e-04,0.12299,2.715e-06
IBA57,0.6,-0.15018,6.463e-07,-0.080111,7.914e-07,2.110e-15,7.301e-19,11.885,8.456e-04,0.14771,1.987e-06
RME1,0.6, 0.13261,1.550e-06, 0.034431,6.668e-07,6.759e-15,5.088e-18,11.380,8.589e-04,0.05948,1.060e-06
CHK1,0.2, 0.14753,7.071e-08, 0.039455,2.121e-08,1.001e-14,2.121e-19,11.209,4.879e-04,0.10863,7.071e-08
