,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
MRC1,1.0,-0.24314,3.860e-07,-0.020300,1.494e-08,1.897e-75,8.414e-79,71.930,0.0001035,0.87861,1.471e-06
SAS2,1.0,-0.17165,4.000e-07,-0.129072,7.001e-07,6.666e-39,3.653e-42,35.385,0.0003452,0.05288,2.098e-07
SIF2,1.0,-0.21554,8.233e-08,-0.060227,3.985e-08,2.059e-32,1.186e-36,28.895,0.0002984,0.09445,7.888e-08
TIF4631,1.0,-0.22345,5.164e-08,-0.079110,4.077e-08,2.244e-31,5.116e-36,27.857,0.0003001,0.06474,5.270e-08
SNT1,1.0,-0.21447,6.325e-08,-0.059894,3.824e-08,1.587e-28,7.889e-33,25.008,0.0002869,0.08980,9.189e-08
SAS4,1.0,-0.17685,6.749e-08,-0.077445,4.551e-08,7.226e-27,2.827e-31,23.350,0.0002983,0.08550,5.676e-08
CKB1,1.0,-0.13551,2.108e-07,-0.013755,8.433e-09,3.138e-24,4.768e-28,20.712,0.0003175,0.90910,1.008e-06
RIM1,1.0,-0.18314,1.132e-06,-0.083907,1.241e-06,1.427e-23,1.439e-26,20.054,0.0004897,0.12893,2.257e-06
PAT1,1.0,-0.21267,1.317e-07,-0.094908,9.769e-08,9.304e-23,5.816e-27,19.240,0.0003067,0.06630,9.661e-08
IRE1,1.0, 0.20756,4.217e-06, 0.047844,1.647e-06,6.634e-21,1.320e-23,17.387,0.0008701,0.11159,4.439e-06
USA1,1.0,-0.18569,8.756e-08,-0.031183,3.653e-08,1.485e-20,9.454e-25,17.037,0.0003021,0.06196,8.756e-08
UBP6,1.0, 0.18426,6.325e-08, 0.046726,2.366e-08,6.686e-20,1.635e-24,16.383,0.0002932,0.06791,5.164e-08
TIP41,1.0, 0.17400,1.193e-06, 0.036194,6.822e-07,1.483e-19,1.360e-22,16.037,0.0004348,0.08670,1.836e-06
SBP1,1.0,-0.15507,2.321e-07,-0.064473,5.175e-07,1.940e-19,4.606e-23,15.921,0.0002996,0.05781,7.166e-07
SET1,1.0,-0.16236,7.183e-07,-0.049070,4.480e-07,2.907e-19,1.041e-22,15.745,0.0003125,0.12217,2.336e-06
NPR2,1.0,-0.16815,5.940e-07,-0.037562,2.874e-07,6.701e-19,2.594e-22,15.382,0.0004265,0.06200,4.742e-07
STP1,1.0,-0.15732,0.000e+00,-0.090066,3.806e-08,1.371e-18,2.055e-23,15.071,0.0002989,0.10559,7.379e-08
UBP8,1.0,-0.17505,7.888e-08,-0.028438,1.578e-08,1.918e-17,4.949e-22,13.926,0.0002980,0.13532,1.059e-07
MKK2,1.0, 0.16547,1.646e-06, 0.027585,5.168e-07,3.057e-17,2.281e-20,13.723,0.0004014,0.11158,3.017e-06
KIN82,1.0,-0.17611,5.736e-07,-0.026347,1.756e-07,7.489e-17,1.416e-20,13.334,0.0002943,0.12109,1.263e-06
RIM11,1.0, 0.16148,4.830e-08, 0.036520,2.066e-08,2.096e-16,3.368e-21,12.887,0.0002989,0.09511,9.718e-08
RTF1,1.0,-0.19864,1.417e-06,-0.077200,1.467e-06,2.543e-16,1.893e-19,12.803,0.0004015,0.07596,1.811e-06
ZAP1,1.0,-0.14442,6.724e-07,-0.053479,5.371e-07,4.205e-16,1.792e-19,12.585,0.0003203,0.12526,1.563e-06
IBA57,1.0,-0.15163,4.872e-07,-0.080638,6.793e-07,7.828e-16,1.979e-19,12.315,0.0002881,0.14972,1.983e-06
UBP16,1.0, 0.15182,4.315e-07, 0.035172,2.599e-07,9.779e-16,1.426e-19,12.218,0.0002916,0.09902,1.355e-06
PDR3,1.0, 0.16339,1.897e-07, 0.028416,1.544e-07,1.189e-15,3.162e-21,12.133,0.0002951,0.05472,8.412e-07
NUP133,1.0,-0.14423,4.830e-08,-0.064131,3.604e-08,1.698e-15,3.974e-20,11.978,0.0002990,0.12063,8.433e-08
LSM6,1.0,-0.18933,1.332e-05,-0.050437,5.066e-06,2.229e-15,1.019e-17,11.860,0.0020758,0.12524,1.270e-05
SLX8,1.0,-0.15353,5.270e-08,-0.062798,4.149e-08,3.341e-15,1.210e-19,11.685,0.0002913,0.07657,5.270e-08
RAD26,1.0,-0.14616,0.000e+00,-0.041982,2.025e-08,3.986e-15,3.293e-20,11.608,0.0002973,0.06616,5.164e-08
YLR278C,1.0, 0.14417,5.270e-08, 0.030142,2.003e-08,6.666e-15,1.675e-19,11.385,0.0002943,0.09280,6.749e-08
CHK1,1.0, 0.14536,1.669e-06, 0.038221,9.518e-07,1.033e-14,7.975e-18,11.194,0.0004127,0.11971,4.344e-06
JNM1,1.0,-0.13312,5.164e-08,-0.032842,1.524e-08,1.321e-14,1.829e-19,11.087,0.0002957,0.09299,9.428e-08
RME1,1.0, 0.13022,9.967e-07, 0.033862,4.105e-07,1.456e-14,6.762e-18,11.045,0.0003309,0.06000,6.536e-07
GEP3,1.0,-0.14115,7.071e-08,-0.062198,3.432e-08,4.517e-14,1.052e-18,10.554,0.0002937,0.19464,1.033e-07
PTC4,1.0, 0.13431,5.164e-08, 0.040721,3.259e-08,6.008e-14,1.558e-18,10.430,0.0002917,0.05185,4.714e-08
PEX4,1.0, 0.16007,7.430e-07, 0.049209,6.395e-07,6.468e-14,2.843e-17,10.398,0.0003237,0.07376,1.056e-06
IRC3,1.0,-0.13883,1.118e-06,-0.046561,5.199e-07,7.023e-14,2.846e-17,10.362,0.0004320,0.20664,3.054e-06
BUR2,1.0,-0.15448,4.092e-06,-0.069172,3.281e-06,7.425e-14,1.092e-16,10.338,0.0006094,0.16612,1.295e-05
YPT7,1.0, 0.09699,8.478e-07, 0.043489,8.546e-07,9.627e-14,7.700e-17,10.225,0.0004243,0.05524,7.846e-07
RSC2,1.0,-0.15143,8.412e-07,-0.072683,6.174e-07,1.270e-13,3.568e-17,10.105,0.0003029,0.12202,1.573e-06
CKB2,1.0,-0.09887,0.000e+00,-0.012269,0.000e+00,2.955e-13,2.132e-18, 9.738,0.0002951,0.90998,7.379e-08
RTR1,1.0, 0.10212,4.216e-08, 0.010029,0.000e+00,8.473e-13,8.787e-18, 9.280,0.0002947,0.89580,9.487e-08
SAM3,1.0,-0.13558,4.714e-08,-0.033993,1.729e-08,8.883e-13,1.270e-17, 9.260,0.0002984,0.12061,6.667e-08
PUF3,1.0, 0.09484,4.216e-08, 0.026040,9.798e-08,1.021e-12,1.575e-16, 9.199,0.0003224,0.09602,6.835e-07
YLH47,1.0, 0.13126,1.912e-07, 0.042854,1.899e-07,1.182e-12,7.786e-17, 9.136,0.0002884,0.06923,5.103e-07
SUS1,1.0,-0.13191,0.000e+00,-0.041154,1.636e-08,1.198e-12,1.101e-17, 9.130,0.0002973,0.12038,9.487e-08
YTA7,1.0,-0.13123,9.640e-07,-0.065305,8.971e-07,1.782e-12,7.087e-16, 8.957,0.0004286,0.13090,2.443e-06
HIR2,1.0,-0.12814,0.000e+00,-0.022058,7.071e-09,2.676e-12,5.164e-18, 8.781,0.0002951,0.08029,8.165e-08
PTP3,1.0,-0.10629,0.000e+00,-0.036268,1.838e-08,3.292e-12,2.669e-17, 8.691,0.0002973,0.07213,5.270e-08
EAF7,1.0,-0.13269,3.458e-07,-0.046144,3.669e-07,3.684e-12,6.761e-16, 8.642,0.0002951,0.11260,1.337e-06
SNF12,1.0,-0.09717,1.265e-07,-0.076010,3.486e-07,1.021e-11,1.102e-15, 8.200,0.0003277,0.13081,6.647e-07
PUF4,1.0, 0.11049,8.969e-07, 0.026884,5.172e-07,1.315e-11,6.616e-15, 8.090,0.0003183,0.06879,1.523e-06
UBC8,1.0, 0.14070,1.428e-06, 0.026909,5.278e-07,1.501e-11,6.740e-15, 8.032,0.0003199,0.10183,2.848e-06
YAP1,1.0, 0.13180,6.596e-07, 0.033278,3.597e-07,2.678e-11,8.227e-15, 7.781,0.0003499,0.06827,6.280e-07
BRE2,1.0,-0.12001,3.406e-07,-0.044593,3.500e-07,3.230e-11,4.760e-15, 7.699,0.0002944,0.09795,1.240e-06
NUP60,1.0,-0.15064,5.164e-08,-0.034861,1.829e-08,3.429e-11,5.195e-16, 7.673,0.0002963,0.13068,1.135e-07
SRP40,1.0, 0.13895,5.164e-08, 0.031477,1.853e-08,4.853e-11,6.919e-16, 7.522,0.0002952,0.12964,1.252e-07
SSN3,1.0,-0.12719,5.270e-08,-0.094340,4.125e-07,7.158e-11,4.229e-15, 7.354,0.0003112,0.12299,1.165e-06
CTF8,1.0,-0.08495,0.000e+00,-0.007081,0.000e+00,1.144e-10,0.000e+00, 7.150,0.0002994,0.89692,6.992e-08
