,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
SAS2,1.0,-0.17455,7.071e-08,-0.131481,1.149e-07,2.082e-40,1.907e-44,36.891,8.284e-04,0.05299,4.714e-08
TIF4631,0.3,-0.22366,5.774e-08,-0.079426,2.646e-08,1.076e-31,1.732e-36,28.177,4.128e-04,0.06506,0.000e+00
ASF1,1.0,-0.18789,4.304e-02,-0.049959,3.213e-02,9.297e-31,8.001e-31,35.012,1.032e+01,0.58312,3.914e-01
SIF2,0.3,-0.21002,1.155e-07,-0.058591,6.028e-08,6.396e-30,5.568e-34,26.403,3.790e-04,0.09063,1.000e-07
SAS4,0.7,-0.18363,6.901e-08,-0.082198,4.467e-08,5.930e-29,2.462e-33,25.437,7.020e-04,0.08233,6.901e-08
CLB5,1.0,-0.16261,4.639e-03,-0.025189,1.412e-02,1.568e-28,2.524e-28,29.792,3.658e+00,0.66198,3.817e-01
SET1,0.5,-0.18512,0.000e+00,-0.060685,2.683e-08,2.114e-26,5.612e-31,22.885,7.705e-04,0.11022,1.095e-07
SNT1,0.5,-0.20201,0.000e+00,-0.055706,1.225e-08,1.407e-25,1.789e-30,22.061,6.278e-04,0.09326,0.000e+00
MRC1,1.0,-0.19659,7.069e-02,-0.025951,8.649e-03,1.270e-21,2.045e-21,54.433,2.543e+01,0.65864,3.725e-01
RIM1,0.2,-0.17367,0.000e+00,-0.078295,4.243e-08,1.683e-20,4.950e-25,16.983,9.829e-04,0.12748,7.071e-08
UBP6,0.4, 0.18196,5.774e-08, 0.046654,2.872e-08,2.353e-19,7.500e-24,15.838,8.922e-04,0.06583,5.774e-08
USA1,0.7,-0.18388,6.901e-08,-0.031069,3.207e-08,4.903e-19,2.717e-23,15.519,6.767e-04,0.05654,6.901e-08
SBP1,0.3,-0.15231,5.196e-07,-0.063166,1.011e-06,8.371e-19,4.386e-22,15.286,9.395e-04,0.05824,1.300e-06
SUS1,0.1,-0.15963,       NA,-0.054128,       NA,1.038e-18,       NA,15.193,       NA,0.10365,       NA
SLX8,0.2,-0.16726,7.071e-08,-0.075207,1.061e-07,2.074e-18,2.051e-22,14.893,1.952e-03,0.06033,7.071e-08
PAT1,0.5,-0.19671,8.367e-08,-0.084373,8.503e-08,4.375e-18,2.235e-22,14.569,1.058e-03,0.06519,5.477e-08
JNM1,0.1,-0.14348,       NA,-0.037222,       NA,1.640e-17,       NA,13.995,       NA,0.08861,       NA
NPR2,0.4,-0.16344,5.000e-08,-0.035888,2.363e-08,1.972e-17,5.909e-22,13.914,6.782e-04,0.06216,5.000e-08
HIR2,0.2,-0.14757,7.071e-08,-0.026652,7.071e-09,2.513e-17,0.000e+00,13.809,9.899e-04,0.08092,7.071e-08
STP1,0.4,-0.15290,5.774e-08,-0.087824,5.123e-08,3.201e-17,8.057e-22,13.704,6.685e-04,0.10194,8.165e-08
PDR3,0.3, 0.16831,5.774e-08, 0.029774,5.774e-09,4.330e-17,5.774e-23,13.573,8.083e-04,0.05495,0.000e+00
IRE1,0.5, 0.18722,1.140e-07, 0.042358,3.317e-08,4.865e-17,1.837e-21,13.522,5.966e-04,0.11783,1.225e-07
KIN82,0.7,-0.17427,5.345e-08,-0.026554,1.676e-08,5.803e-17,1.160e-21,13.446,8.560e-04,0.12161,1.069e-07
NUP133,0.4,-0.15193,0.000e+00,-0.070969,1.826e-08,1.035e-16,1.732e-21,13.195,7.083e-04,0.10388,5.774e-08
SAM3,0.5,-0.15377,7.071e-08,-0.041571,3.347e-08,1.039e-16,3.347e-21,13.192,6.901e-04,0.10462,1.304e-07
RAD26,0.5,-0.14952,0.000e+00,-0.043237,2.490e-08,5.022e-16,6.107e-21,12.509,3.164e-04,0.06647,5.477e-08
MKK2,0.3, 0.16023,0.000e+00, 0.026765,1.000e-08,7.772e-16,7.810e-21,12.319,8.054e-04,0.10707,5.774e-08
EAF7,0.5,-0.14498,0.000e+00,-0.054089,3.082e-08,1.172e-15,1.789e-20,12.140,7.050e-04,0.10935,1.000e-07
ZAP1,0.1,-0.14272,       NA,-0.052932,       NA,1.620e-15,       NA,12.000,       NA,0.12300,       NA
IBA57,0.3,-0.15018,9.238e-07,-0.080111,1.129e-06,2.110e-15,1.042e-18,11.885,5.434e-04,0.14771,2.831e-06
RME1,0.5, 0.13260,4.472e-08, 0.034431,1.871e-08,6.762e-15,1.493e-19,11.379,6.345e-04,0.05948,5.477e-08
CHK1,0.8, 0.14753,3.536e-08, 0.039455,2.134e-08,1.001e-14,1.727e-19,11.209,9.028e-04,0.10863,6.409e-08
ELG1,1.0,-0.14192,3.104e-02,-0.036016,2.028e-02,1.256e-14,2.022e-14,20.180,6.620e+00,0.33535,4.020e-01
TIP41,0.6, 0.15443,7.528e-08, 0.030954,3.061e-08,1.295e-14,5.279e-19,11.097,5.847e-04,0.08582,1.049e-07
UBP16,0.6, 0.14646,4.082e-08, 0.033536,1.835e-08,2.179e-14,2.757e-19,10.871,8.918e-04,0.09847,8.165e-08
RIM11,0.7, 0.15209,6.901e-08, 0.033871,2.507e-08,3.215e-14,7.105e-19,10.702,9.843e-04,0.09413,1.272e-07
RTT109,1.0,-0.11031,1.019e-02,-0.022205,1.786e-02,5.066e-14,1.776e-14,10.734,8.699e-01,0.72459,1.825e-01
BCS1,0.7,-0.16487,1.069e-07,-0.030822,3.904e-08,5.291e-14,2.223e-18,10.486,8.461e-04,0.05045,9.759e-08
RSC2,0.4,-0.15380,5.000e-08,-0.075075,3.367e-08,6.083e-14,9.251e-19,10.425,1.196e-03,0.11756,1.000e-07
YLH47,0.4, 0.13611,0.000e+00, 0.044198,2.887e-08,1.289e-13,1.155e-18,10.100,7.067e-04,0.07035,9.574e-08
YPT7,0.6, 0.09777,4.082e-08, 0.043086,3.830e-08,1.802e-13,6.293e-18, 9.954,8.950e-04,0.05519,0.000e+00
SAE2,0.8,-0.15546,5.175e-08,-0.031062,2.532e-08,1.897e-13,4.690e-18, 9.932,8.183e-04,0.08581,9.161e-08
DUN1,1.0,-0.12289,3.342e-02,-0.023736,1.965e-02,2.560e-13,2.203e-13,11.277,2.192e+00,0.57567,4.123e-01
IRC3,0.5,-0.13681,1.834e-06,-0.046209,8.330e-07,2.919e-13,1.888e-16, 9.744,7.522e-04,0.20153,4.416e-06
YLR278C,0.1, 0.13712,       NA, 0.028225,       NA,2.986e-13,       NA, 9.735,       NA,0.09286,       NA
PUF4,0.3, 0.11312,5.774e-08, 0.028289,1.528e-08,9.569e-13,1.442e-17, 9.229,4.071e-04,0.06903,5.774e-08
