,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
SAS2,0.7,-0.17455,5.469e-07,-0.131481,9.493e-07,2.081e-40,1.567e-43,36.890,9.917e-04,0.05299,2.984e-07
TIF4631,0.5,-0.22366,8.944e-08,-0.079426,5.070e-08,1.076e-31,3.647e-36,28.177,1.318e-03,0.06506,8.944e-08
ASF1,1.0,-0.17956,4.026e-02,-0.043738,3.005e-02,1.084e-30,7.482e-31,33.013,9.652e+00,0.65891,3.661e-01
SIF2,0.2,-0.21002,7.071e-08,-0.058591,4.243e-08,6.396e-30,4.172e-34,26.403,5.303e-04,0.09063,7.071e-08
SAS4,0.9,-0.18363,1.111e-06,-0.082199,1.017e-06,5.928e-29,5.280e-32,25.436,9.893e-04,0.08233,1.084e-06
CLB5,1.0,-0.16261,4.639e-03,-0.025189,1.412e-02,1.568e-28,2.524e-28,29.792,3.658e+00,0.66198,3.817e-01
SET1,0.4,-0.18513,1.242e-06,-0.060686,9.732e-07,2.113e-26,1.941e-29,22.884,6.634e-04,0.11022,3.610e-06
SNT1,0.7,-0.20201,1.134e-07,-0.055706,6.102e-08,1.407e-25,1.077e-29,22.060,6.981e-04,0.09326,1.134e-07
MRC1,1.0,-0.16732,7.713e-02,-0.029532,9.436e-03,2.117e-21,2.231e-21,43.904,2.775e+01,0.50441,4.064e-01
RIM1,0.1,-0.17367,       NA,-0.078295,       NA,1.683e-20,       NA,16.984,       NA,0.12748,       NA
UBP6,0.8, 0.18196,7.071e-08, 0.046654,4.036e-08,2.353e-19,9.899e-24,15.837,1.059e-03,0.06583,7.071e-08
USA1,0.6,-0.18389,3.538e-06,-0.031070,1.400e-06,4.895e-19,1.233e-21,15.520,1.646e-03,0.05654,2.570e-06
SBP1,0.7,-0.15231,3.402e-07,-0.063166,6.962e-07,8.372e-19,3.021e-22,15.286,1.123e-03,0.05824,9.209e-07
SUS1,0.3,-0.15963,0.000e+00,-0.054128,1.155e-08,1.038e-18,5.774e-24,15.192,4.041e-04,0.10365,5.774e-08
SLX8,0.5,-0.16726,5.477e-08,-0.075207,1.123e-07,2.075e-18,2.232e-22,14.892,1.163e-03,0.06033,1.095e-07
PAT1,0.2,-0.19671,0.000e+00,-0.084373,7.071e-09,4.374e-18,1.414e-23,14.569,1.492e-03,0.06519,0.000e+00
JNM1,0.2,-0.14348,0.000e+00,-0.037222,3.536e-08,1.640e-17,6.364e-22,13.995,1.478e-03,0.08861,1.414e-07
NPR2,0.5,-0.16344,8.367e-08,-0.035888,4.278e-08,1.972e-17,1.133e-21,13.915,1.075e-03,0.06216,5.477e-08
HIR2,0.3,-0.14757,4.933e-07,-0.026652,2.223e-07,2.513e-17,5.774e-22,13.808,6.950e-04,0.08091,2.166e-06
STP1,0.5,-0.15290,4.472e-08,-0.087824,3.130e-08,3.201e-17,4.669e-22,13.704,1.069e-03,0.10194,7.071e-08
PDR3,0.5, 0.16831,4.472e-08, 0.029774,1.304e-08,4.330e-17,1.304e-22,13.572,6.261e-04,0.05495,5.477e-08
IRE1,0.6, 0.18723,5.618e-06, 0.042358,2.036e-06,4.861e-17,1.115e-19,13.523,9.496e-04,0.11783,6.018e-06
KIN82,0.7,-0.17427,7.387e-07,-0.026554,2.252e-07,5.802e-17,1.609e-20,13.446,1.003e-03,0.12161,1.483e-06
NUP133,0.2,-0.15193,1.061e-06,-0.070969,1.124e-06,1.034e-16,8.061e-20,13.194,8.344e-04,0.10388,2.121e-06
SAM3,0.7,-0.15377,1.330e-06,-0.041572,8.701e-07,1.039e-16,8.134e-20,13.192,9.726e-04,0.10462,2.923e-06
RAD26,0.2,-0.14952,0.000e+00,-0.043237,2.121e-08,5.022e-16,4.950e-21,12.508,4.879e-04,0.06647,7.071e-08
MKK2,0.7, 0.16023,2.801e-06, 0.026765,8.238e-07,7.766e-16,9.518e-19,12.319,9.531e-04,0.10707,4.187e-06
EAF7,0.6,-0.14498,5.164e-07,-0.054089,6.784e-07,1.171e-15,4.187e-19,12.141,1.249e-03,0.10935,2.184e-06
ZAP1,0.1,-0.14272,       NA,-0.052932,       NA,1.620e-15,       NA,11.998,       NA,0.12300,       NA
IBA57,0.3,-0.15018,9.815e-07,-0.080111,1.137e-06,2.110e-15,1.045e-18,11.885,5.488e-04,0.14771,2.771e-06
RME1,0.6, 0.13261,1.219e-06, 0.034431,5.266e-07,6.761e-15,4.025e-18,11.379,1.165e-03,0.05948,8.424e-07
CHK1,0.4, 0.14754,2.550e-06, 0.039456,1.448e-06,1.001e-14,1.244e-17,11.209,1.744e-03,0.10863,5.267e-06
TIP41,0.5, 0.15443,1.443e-06, 0.030955,7.104e-07,1.295e-14,1.155e-17,11.096,9.778e-04,0.08582,1.890e-06
ELG1,1.0,-0.12907,3.387e-02,-0.027620,2.213e-02,2.093e-14,2.207e-14,17.439,7.222e+00,0.50181,4.387e-01
UBP16,0.7, 0.14646,6.945e-07, 0.033536,3.432e-07,2.179e-14,5.412e-18,10.870,6.118e-04,0.09847,1.590e-06
RIM11,0.5, 0.15209,7.071e-08, 0.033871,2.000e-08,3.215e-14,5.771e-19,10.702,5.851e-04,0.09413,8.944e-08
RTT109,1.0,-0.11354,1.359e-02,-0.027854,2.382e-02,4.502e-14,2.367e-14,11.009,1.160e+00,0.66688,2.433e-01
BCS1,0.4,-0.16487,9.574e-08,-0.030822,4.193e-08,5.291e-14,2.491e-18,10.485,6.572e-04,0.05045,1.000e-07
RSC2,0.2,-0.15380,0.000e+00,-0.075075,0.000e+00,6.083e-14,0.000e+00,10.425,5.020e-04,0.11756,0.000e+00
YLH47,0.6, 0.13611,2.041e-07, 0.044198,1.920e-07,1.289e-13,8.280e-18,10.099,1.027e-03,0.07035,5.345e-07
YPT7,0.3, 0.09777,5.774e-08, 0.043086,6.658e-08,1.803e-13,1.082e-17, 9.954,1.063e-03,0.05519,5.774e-08
SAE2,0.3,-0.15547,5.225e-06,-0.031063,2.399e-06,1.894e-13,4.414e-16, 9.931,1.240e-03,0.08581,9.931e-06
DUN1,1.0,-0.12289,3.342e-02,-0.023736,1.965e-02,2.560e-13,2.203e-13,11.277,2.192e+00,0.57567,4.123e-01
IRC3,0.3,-0.13681,5.774e-08,-0.046209,1.732e-08,2.920e-13,4.619e-18, 9.744,7.000e-04,0.20153,1.155e-07
YLR278C,0.8, 0.13712,1.112e-06, 0.028225,4.857e-07,2.985e-13,1.772e-16, 9.734,1.053e-03,0.09286,1.567e-06
PUF4,0.5, 0.11312,9.290e-07, 0.028289,5.464e-07,9.567e-13,5.312e-16, 9.228,1.353e-03,0.06903,1.534e-06
SNF12,0.5,-0.10170,1.643e-07,-0.079608,5.239e-07,9.814e-13,1.707e-16, 9.217,6.289e-04,0.13105,9.066e-07
BUR2,0.4,-0.14779,6.438e-06,-0.066686,4.573e-06,1.135e-12,2.543e-15, 9.154,1.705e-03,0.16019,1.452e-05
RTF1,0.2,-0.18256,3.536e-06,-0.067320,3.161e-06,1.587e-12,2.440e-15, 9.008,1.662e-03,0.07450,3.677e-06
GEP3,0.2,-0.13437,2.475e-06,-0.058407,1.612e-06,3.173e-12,3.302e-15, 8.707,4.525e-04,0.19007,4.879e-06
YTA7,0.2,-0.13029,0.000e+00,-0.064594,7.071e-09,3.716e-12,7.071e-18, 8.639,0.000e+00,0.12849,0.000e+00
RTR1,0.5, 0.09737,4.472e-08, 0.009735,0.000e+00,5.118e-12,3.633e-17, 8.500,1.278e-03,0.90045,8.944e-08
SPP1,0.3, 0.13021,0.000e+00, 0.029534,5.774e-09,5.985e-12,5.774e-18, 8.432,4.041e-04,0.09076,5.774e-08
NUP60,0.2,-0.15623,7.071e-08,-0.037361,1.414e-08,7.103e-12,8.485e-17, 8.358,5.020e-04,0.12049,7.071e-08
SPT21,0.2,-0.15653,7.071e-08,-0.054093,7.071e-09,8.749e-12,1.061e-16, 8.266,9.899e-04,0.12948,1.414e-07
PTP3,0.6,-0.10028,0.000e+00,-0.033957,1.378e-08,9.215e-12,6.377e-17, 8.245,1.259e-03,0.08015,6.325e-08
UBC8,0.8, 0.14027,2.001e-06, 0.027464,6.756e-07,1.187e-11,7.569e-15, 8.135,1.189e-03,0.09820,3.027e-06
LSM6,0.4,-0.16661,1.334e-05,-0.042843,4.772e-06,1.705e-11,6.573e-14, 7.977,1.900e-03,0.12527,1.267e-05
BRE2,0.4,-0.12092,0.000e+00,-0.045079,1.258e-08,1.904e-11,1.258e-16, 7.930,8.855e-04,0.09818,5.000e-08
SWI6,1.0,-0.09945,2.448e-02,-0.024399,2.037e-02,2.321e-11,1.223e-11, 9.320,3.318e+00,0.68527,2.646e-01
PIN4,0.2,-0.12800,0.000e+00,-0.030261,7.071e-09,2.986e-11,1.414e-16, 7.734,1.485e-03,0.10834,0.000e+00
CTF18,0.6,-0.09090,3.886e-07,-0.009701,1.366e-08,3.231e-11,4.160e-15, 7.700,1.197e-03,0.84486,3.101e-06
YAP1,0.8, 0.13138,7.071e-08, 0.033334,2.828e-08,3.369e-11,8.384e-16, 7.682,1.062e-03,0.06743,5.175e-08
DLS1,0.4,-0.11795,1.127e-06,-0.030409,6.007e-07,4.451e-11,1.823e-14, 7.560,6.359e-04,0.08326,2.195e-06
PEX4,0.3, 0.14565,5.774e-08, 0.043393,5.132e-08,4.460e-11,1.419e-15, 7.560,1.233e-03,0.07414,5.774e-08
CTF8,0.7,-0.08606,7.559e-08,-0.007230,1.134e-08,5.966e-11,1.640e-15, 7.434,9.001e-04,0.90016,1.494e-06
