,global,local
VPS25,-923.756844215763,1558.14284345771
OPI3,-6103.45986400534,-5382.34231801431
CHO2,-4212.89592951413,-3130.94295524519
CTK1,-4314.91459193981,-3685.8264944741
ELP3,632.905316354192,1424.75094527867
NUP133,-1642.71146709898,-611.039075159966
CTF8,3580.53404598879,4663.94611102646
DOA4,-658.585589911278,205.028471517661
BRE2,790.67221441016,1746.84637233759
SWD1,678.152013638481,1487.4766364482
SPP1,2812.05967897539,3366.72066879014
SET1,689.658311625989,1324.97884767473
HFI1,-3778.61538119082,-2787.9145851649
SWD3,-64.1093387416653,836.133267073491
SDC1,1254.15833852545,1865.81309362417
BIM1,2294.99628206331,3488.44207609606
BUD13,1165.25850635595,1735.52429861029
BRR1,3251.08544763566,4357.94941763949
BUD22,521.405258076045,1083.04126131571
BUD20,2314.57325214114,3439.50173976358
IBA57,-2498.81451768433,-1248.36878812516
CAR2,2489.26475858377,4939.54603949345
SRV2,-4610.49207959553,-3286.40602093373
BUD21,1876.63469461183,3099.96886711941
CCE1,940.830397871947,1776.14247873263
CDC40,-1720.22771211288,-1093.82625402127
SSN3,-4371.50611557931,-2258.20175660638
CGR1,2464.40090012921,3850.99461305275
CHL1,5302.17901744532,6274.87863724734
CGI121,1216.35734549259,1940.16239223951
CIN8,2052.19373569963,3194.88865972011
CKB1,1182.44858985585,3168.38085128732
CKA2,133.200292956302,1986.81149826054
CLB5,2970.01322720497,3764.08076719152
CLB2,4102.83519561347,5316.23692131554
CKB2,298.993704339443,1954.94204943238
CLA4,3976.1800051321,5566.19340460563
CLB1,3230.34177911457,5112.84058968137
CLN3,2937.66990027622,3553.01541401387
CLN2,5910.51240113127,7608.03778573439
CSM1,1201.93712502713,3921.59024864154
CTF18,1280.30651655946,2317.84562047546
CTF19,5022.15104294476,6479.87785776044
CSM3,5110.91509815801,5947.19657969665
CTF4,119.491904716058,905.548172537942
SSN8,-3424.48658832283,-994.218072316003
DCC1,1919.84945846549,2809.88860880896
DBR1,3061.22682060709,3857.50645078599
DCS1,3067.10452212903,4664.49480870413
DBP3,1096.20680140654,2145.20253927805
DDR48,2048.92072724655,5681.18782330194
DHH1,-1165.86422936717,-550.857193034746
DIG1,-1381.06080453208,60.1794350453937
DEG1,699.530678492145,1746.69488565006
DIG2,6650.89329065313,7719.0351945793
DSS1,4907.85937747885,6098.97951401721
DPB3,3784.95736008089,4643.02769453723
DST1,3427.64898131867,4451.1131461825
DUN1,2093.44873889347,3865.51686563704
EBS1,4015.9939470178,4748.22891528525
EDC1,2583.29764721732,4650.9627304493
EFG1,786.984824792775,2110.00483846832
ELG1,4389.09842037432,6047.70424597148
ELF1,282.167199236351,827.696091735368
ELM1,1307.62265772086,2320.1461330769
ERF2,4238.17853690384,5912.9282551553
ERG2,-230.890779256207,1909.05809490527
EST1,3952.81842551026,5757.21609863353
EXO1,2781.7096435531,5493.2590322452
FAB1,2060.35439107094,3741.36362162124
FKS1,-294.217173810728,1080.01806419814
GEP3,-2213.71714230786,-1134.52712208589
FIN1,4611.38753749273,6594.93621902049
FRA2,4724.90554426691,8716.97016694708
GAL80,4495.654525361,7357.86823883183
FUS3,613.563552634478,2213.20234166485
GCR2,-17.6009595292788,1061.05196986483
GPA2,1270.63603207433,3224.04340538282
GPR1,-616.867513193093,985.46008513769
GPG1,3602.28197694668,4228.79116641329
GPH1,2820.31490072756,4408.86893045192
GIS4,2906.19103554424,4913.58778303716
GTR1,1575.11491904012,3835.34143861344
GSY2,4215.48703594813,5269.99775429271
GSY1,5114.03688359578,6071.1956061158
HAP4,3347.34226018122,4197.66300180495
HCR1,896.039506202706,1784.14691524939
HFM1,1666.40984272739,2908.55381129635
HHT1,5742.69604788854,6699.91389101196
HNT3,4279.41971296767,5523.18015882138
HOG1,3130.57477178731,5309.65689111989
HHF1,5033.55469792413,5798.45178971987
