,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2,em_beta_1,em_beta_2,ratio_1,ratio_2
VPS25,-4.35113e-02,3.76622e-01,-4.11218e-02,3.76622e-01,-6.65847e-03,6.15495e-01,-8.82200e-04,6.15495e-01, 0.00000000, 0.0000000,-3.37143e-02,-6.29908e-04,0.0993499,0.9006501
OPI3,-8.26744e-02,1.00345e-02,-1.15158e-01,1.00345e-02, 1.24469e-02,3.72388e-01, 4.21811e-03,3.72388e-01, 0.00000000, 0.0000000,-7.66927e-02, 3.51678e-03,0.2658667,0.7341333
CHO2,-3.16926e-03,8.13326e-01,-8.76177e-04,8.13326e-01,-5.72983e-02,1.78470e-01,-6.59134e-02,1.78470e-01, 0.00000000, 0.0000000,-4.88235e-04,-7.12770e-02,0.8431827,0.1568173
CTK1,-5.58335e-04,9.67846e-01,-1.49940e-04,9.67846e-01,-2.23505e-02,5.04979e-01,-2.49239e-02,5.04979e-01, 0.00000000, 0.0000000, 1.08166e-04,-2.14005e-02,0.7409815,0.2590185
ELP3,-7.21753e-02,3.24967e-01,-6.13827e-02,3.24967e-01,-8.65591e-04,9.46916e-01,-1.40941e-04,9.46916e-01, 0.00000000, 0.0000000,-2.98948e-02, 1.43571e-04,0.0664758,0.9335242
NUP133, 1.83931e-03,8.88900e-01, 3.78617e-04,8.88900e-01,-9.13172e-02,9.46965e-02,-7.20010e-02,9.46965e-02, 0.00000000, 0.0000000, 4.15864e-04,-8.94790e-02,0.8982967,0.1017033
CTF8,-8.29321e-02,2.71930e-10,-7.27066e-03,2.71930e-10, 3.42651e-02,5.36324e-01, 1.50107e-02,5.36324e-01, 6.72106523, 0.0000000,-7.06330e-03,-1.03957e-02,0.8988165,0.1011835
DOA4,-2.03927e-02,6.50831e-01,-1.35364e-02,6.50831e-01, 1.02525e-02,4.42549e-01, 1.70596e-03,4.42549e-01, 0.00000000, 0.0000000,-3.37589e-02, 2.50307e-03,0.1532981,0.8467019
BRE2,-6.78560e-03,6.05729e-01,-9.64556e-04,6.05729e-01,-9.82362e-02,8.02673e-02,-6.79524e-02,8.02673e-02, 0.00000000, 0.0000000,-3.14663e-04,-4.64810e-02,0.9010846,0.0989154
SWD1,-5.81848e-02,2.89747e-01,-3.96314e-02,2.89747e-01,-1.40590e-02,2.85465e-01,-2.08245e-03,2.85465e-01, 0.00000000, 0.0000000,-2.80630e-02,-2.44085e-03,0.1056401,0.8943599
SPP1, 2.84174e-02,2.91625e-02, 3.34185e-03,2.91625e-02, 7.02600e-02,3.05138e-01, 3.35669e-02,3.05138e-01, 0.00000000, 0.0000000, 3.45533e-03, 2.95774e-02,0.9169127,0.0830873
SET1,-3.82915e-02,3.59293e-03,-5.89487e-03,3.59293e-03,-1.02770e-01,6.38344e-02,-5.93545e-02,6.38344e-02, 0.00000000, 0.0000000,-5.48731e-03,-5.56107e-02,0.8840215,0.1159785
HFI1,-9.51225e-03,4.81101e-01,-2.41399e-03,4.81101e-01,-5.07354e-02,2.07474e-01,-6.16929e-02,2.07474e-01, 0.00000000, 0.0000000,-2.30040e-03,-9.22465e-03,0.8151950,0.1848050
SWD3,-3.84859e-03,7.70597e-01,-6.19673e-04,7.70597e-01,-6.14134e-02,2.42498e-01,-4.56086e-02,2.42498e-01, 0.00000000, 0.0000000,-7.09329e-04,-4.18799e-02,0.8819730,0.1180270
SDC1, 1.23851e-02,3.47154e-01, 1.73120e-03,3.47154e-01,-1.06238e-01,4.93064e-02,-6.34033e-02,4.93064e-02, 0.00000000, 0.0000000, 1.65180e-03,-3.24579e-02,0.8804615,0.1195385
BIM1,-2.47222e-02,6.11495e-02,-2.54666e-03,6.11495e-02, 4.11264e-02,4.30264e-01, 1.88853e-02,4.30264e-01, 0.00000000, 0.0000000,-2.51661e-03,-2.66411e-02,0.8927290,0.1072710
BUD13, 2.21819e-02,9.32498e-02, 3.12750e-03,9.32498e-02, 5.61228e-02,2.75145e-01, 3.10048e-02,2.75145e-01, 0.00000000, 0.0000000, 3.04267e-03, 2.27329e-02,0.8601077,0.1398923
BRR1, 2.68116e-02,4.54006e-02, 2.19468e-03,4.54006e-02,-4.71541e-02,2.75372e-01,-1.86148e-02,2.75372e-01, 0.00000000, 0.0000000, 1.96871e-03,-2.34278e-03,0.8460021,0.1539979
BUD22, 3.99252e-03,7.61931e-01, 6.32721e-04,7.61931e-01, 2.17448e-02,6.86472e-01, 1.50561e-02,6.86472e-01, 0.00000000, 0.0000000, 4.66008e-04, 1.22289e-02,0.8752213,0.1247787
BUD20, 1.21482e-02,3.57462e-01, 1.26764e-03,3.57462e-01,-3.73024e-02,4.76204e-01,-1.83314e-02,4.76204e-01, 0.00000000, 0.0000000, 1.21835e-03,-9.99071e-03,0.8902748,0.1097252
