,int,beta,beta_pval,sigma,adj_pval
MRC1,0.0160869398638967,-0.0196478993250408,2.53509981739421e-25,0.146984189231763,1.77203477235855e-22
ASF1,0.0307119453503145,-0.0299069433548667,4.73430412310049e-21,0.247287338902489,3.30927858204725e-18
CLB5,0.00770642306689011,-0.0170152175777894,4.47535688908059e-19,0.148476719224981,3.12827446546733e-16
ELG1,0.000696602033916813,-0.00882651160691362,4.87299708813941e-09,0.117690454478922,3.40622496460945e-06
DUN1,0.0128396305018118,-0.0128285475042745,5.2250151670826e-09,0.171393581489874,3.65228560179074e-06
SWI6,0.0334260797515289,-0.0211036256945075,2.45599624977088e-08,0.295309774026365,1.71674137858984e-05
RTT109,0.0403203522364042,-0.0252668345186346,3.4204140668031e-08,0.357288046286193,2.39086943269537e-05
CKB1,-0.0162683232516606,-0.013538737572789,1.09424278339377e-07,0.198966339542282,7.64875705592244e-05
HHT1,0.00139863918307648,-0.00624732669314215,2.33025724632659e-07,0.0942933822011941,0.000162884981518228
RNR4,0.0309440111271582,-0.0202766793062478,2.85929609743946e-07,0.308336433756454,0.000199864797211018
HOS4,-0.00646697216547716,-0.00675013463826513,1.75574757664497e-06,0.110238235751532,0.00122726755607484
UBP8,0.00563976034605061,-0.00872772769325684,2.7364582418935e-06,0.1452755957774,0.00191278431108356
DCC1,0.0206441574101602,-0.0105552727811084,2.97293280173913e-06,0.176335571517207,0.00207808002841565
CTF18,0.0193225831195727,-0.0114090092415321,5.39861959876513e-06,0.195803531735634,0.00377363509953682
SPT21,0.0552056170917962,-0.0191316900570397,9.6277008083296e-06,0.337505122972551,0.00672976286502239
CKB2,-0.0165978137179681,-0.0127571643044433,1.48088261191618e-05,0.229935382962615,0.0103513694572941
CTF8,0.00800775096423106,-0.00739805714399128,1.7153341948247e-05,0.134351233109729,0.0119901860218247
ZWF1,0.0215178677532269,-0.010448859247379,2.08276116535989e-05,0.191684755296882,0.0145585005458656
HHF1,0.00775127659636054,-0.00576705380587648,2.12305780254528e-05,0.105903726151344,0.0148401740397915
CTI6,-0.0254926373695486,0.0117870131724852,2.78241598252021e-05,0.219604996687575,0.0194490877178162
SET1,0.0107633191930213,-0.0113708014394611,3.85261131053836e-05,0.21568701575424,0.0269297530606631
RTR1,-0.00899540655167692,0.00756643281496466,5.6362847358015e-05,0.146685611913903,0.0393976303032525
AIM1,0.00374471834656181,-0.00425198808726088,6.97457855253013e-05,0.0834763758227771,0.0487523040821856
SUS1,0.0130747628209807,-0.0107958060392446,0.000118717011640175,0.219026027893122,0.0829831911364822
HIR2,0.00636245033912347,-0.00468338612468841,0.000258536895824305,0.100096847859924,0.180717290181189
EAF7,0.00902144059107698,-0.0102373723902735,0.000262335367379085,0.219025552214368,0.183372421797981
NPT1,0.0187485516226109,-0.00859175929198871,0.000357528632935625,0.187958125172963,0.249912514422002
DOC1,0.036494372926053,-0.0129139046579234,0.00077941605655338,0.300152612268301,0.544811823530813
CDC26,0.0167693332829857,-0.0069839191853198,0.0010734743820001,0.166769373794436,0.750358593018068
CHA4,-0.00816008794617067,-0.00434982623093791,0.00145389796423556,0.10670388178843,1
ASC1,0.0251968523681138,-0.0124578100530311,0.00154318895242499,0.307268179276565,1
PLC1,0.0475965097895976,-0.014408491883074,0.00186618708456916,0.361749242535514,1
SRB2,-0.0279764712559173,0.0122736992991525,0.00230555796099981,0.314524783920549,1
RTT106,0.0175996318486239,-0.00760908095765236,0.0025654387408025,0.197076171841621,1
SPP1,-0.00647962363126891,0.00565633394783756,0.00373787523426657,0.15236706591243,1
SMI1,0.0105026062137069,-0.0056622773221759,0.00387333681989392,0.153117882491284,1
CKA1,-0.00488851224760504,-0.00543543100257665,0.00399013964782896,0.147461606650254,1
TIF4631,0.00532140559886945,-0.00640746178336924,0.00427784070664697,0.175173735125347,1
PUS7,-0.00309266250025348,0.00482391902835378,0.00429169502152948,0.131928659253587,1
SER2,0.00979422852383834,-0.00468552542426616,0.0043830880965121,0.128445159971536,1
YLH47,-0.0106418549765202,0.00526144830418216,0.00457111489504441,0.144914488992986,1
POL32,0.00502249146592124,-0.00434148722245528,0.00463660091200716,0.119768411907323,1
JNM1,0.0116639138644895,-0.00521146058399394,0.00484683408855944,0.144494123694357,1
RPD3,0.0183060552166763,-0.0138883979741727,0.00487066853892847,0.385288506564694,1
IRC3,0.0312236511338932,-0.00937039983103903,0.00568570541769825,0.264662743382038,1
SAM3,0.00120136577349828,-0.00589887593476485,0.00571811039515087,0.166722963838297,1
STB5,0.0449519354351765,-0.0108836897633909,0.00593705549253793,0.308985756130163,1
IBA57,0.0350714032856931,-0.0127232176144978,0.00626647759281112,0.363554670840146,1
SAP155,-0.000746036232428692,-0.00671455665230013,0.00664849850453778,0.193245134006365,1
