,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2
VPS25,0.0993498982846408,0,-0.0337143114904533,0.798141875722634,0.900650101715359,0,-0.000629908432167571,0.13132267845876
OPI3,0.265866733972653,0,-0.0766927499075593,1.13795852027503,0.734133266027347,0,0.0035167781072446,0.357153405911945
CHO2,0.843182694107176,0,-0.000488234982649762,0.277518967793641,0.156817305892825,0,-0.0712769993791258,1.04539607561364
CTK1,0.740981507546465,0,0.000108166357143981,0.282934032110512,0.259018492453535,0,-0.0214004654264033,0.83448168261858
ELP3,0.0664758239473919,0,-0.0298947939053539,0.594157566623143,0.933524176052608,0,0.000143570967019991,0.159916947097232
NUP133,0.89829673684927,0,0.000415864421421826,0.204108419092125,0.10170326315073,0,-0.0894789865765263,0.785449467491816
CTF8,0.898816548472958,0,-0.00706330017998481,0.085997586975724,0.101183451527042,0,-0.0103957393767574,0.336586849173636
DOA4,0.15329813553201,0,-0.0337589151486703,0.569439516016626,0.84670186446799,0,0.0025030746229588,0.16635639542535
BRE2,0.90108456331899,0,-0.00031466258816433,0.140710624801075,0.0989154366810098,0,-0.0464809699632761,0.522304406705399
SWD1,0.105640099908056,0,-0.0280629839350176,0.507412758667118,0.894359900091944,0,-0.00244085180523266,0.147520134452782
SPP1,0.916912739676734,0,0.00345532796810905,0.115426618074698,0.083087260323266,0,0.0295773736852479,0.36360678278022
SET1,0.884021505135493,0,-0.00548730856560727,0.152037516585428,0.115978494864507,0,-0.0556107349532259,0.472877926733754
HFI1,0.815195016744349,0,-0.00230039630672291,0.254157839380235,0.184804983255651,0,-0.00922465200386265,0.897274614740802
SWD3,0.881973007281145,0,-0.000709329078034074,0.159078364413568,0.118026992718855,0,-0.0418799273502168,0.561139708260957
SDC1,0.880461492681895,0,0.00165180182859095,0.138908757556784,0.119538507318105,0,-0.0324579013819099,0.424694697767968
BIM1,0.892728952640568,0,-0.00251660530088396,0.10219804456634,0.107271047359432,0,-0.0266411016673569,0.413029253076861
BUD13,0.860107710654536,0,0.00304267148038359,0.139158648916884,0.139892289345464,0,0.0227328581115592,0.407119881284214
BRR1,0.846002109992651,0,0.00196870548663963,0.0818758338588408,0.153997890007349,0,-0.00234277766134058,0.306822722633134
BUD22,0.875221335836036,0,0.000466008192512121,0.15800340378544,0.124778664163964,0,0.0122288555297876,0.467610866704645
BUD20,0.890274829085557,0,0.00121834889466403,0.103190707539515,0.109725170914443,0,-0.00999071172174429,0.405249544557472
IBA57,0.847058734785019,0,0.000828888245672086,0.202460687538008,0.152941265214981,0,-0.0921599756332712,0.798774626761676
CAR2,0.0583472378059065,0,-0.0222432949882462,0.57097678290874,0.941652762194094,0,-0.00175891494930976,0.0847316598479363
SRV2,0.849883864997552,0,0.00169796254123619,0.279556246320547,0.150116135002448,0,-0.0913687691960713,1.16350242699036
BUD21,0.0841475612172169,0,0.0208617507266272,0.483346850867791,0.915852438782783,0,0.000733230392897333,0.113734724984798
CCE1,0.749144875044301,0,0.00162149219956362,0.111090333350418,0.250855124955699,0,-0.028992428070496,0.367437997167878
CDC40,0.846079971915828,0,0.00858170170234927,0.215219635451952,0.153920028084172,0,0.0173492882660294,0.642080612934167
SSN3,0.881780925816122,0,0.00194584976532124,0.238119555300782,0.118219074183878,0,-0.139929672741845,1.28975470631029
CGR1,0.924262129770878,0,-0.000167547479279773,0.101666728624961,0.0757378702291224,0,0.00443327138180153,0.466804814742433
CHL1,0.906330730466663,0,-0.00147506046951755,0.0675719145187455,0.093669269533337,0,-0.00585903976493593,0.256014988151728
CGI121,0.11431009050492,0,0.0316082151717343,0.44363127202412,0.88568990949508,0,-0.000261191352207732,0.136689171147782
CIN8,0.140223622018471,0,-0.0108123509670344,0.388220826612058,0.859776377981529,0,-0.00135296081914219,0.101000289098422
CKB1,0.911038878371359,0,-0.0136586228890082,0.106362114491212,0.0889611216286407,0,-0.0121784872192338,0.576233756357537
CKA2,0.883468610859347,0,-0.00153395495032679,0.121902237932944,0.116531389140653,0,-0.0246145517153522,0.60582401144232
CLB5,0.89929060531974,0,-0.0159824523599411,0.102526704388279,0.10070939468026,0,-0.0262374229627391,0.354252332735741
