GO_term p.value
GO:0000165 0.254820587159182
GO:0000187 0.0981593662527546
GO:0003674 NaN
GO:0008150 1
GO:0005575 0.999999981192776
GO:0000188 0.14373641755394
GO:0005634 NaN
GO:0005737 NaN
GO:1990439 0.033795608458923
GO:0035970 0.0502837380074058
GO:0008080 0.254820587159182
GO:0006473 0.033795608458923
GO:0004934 0.0170357751277683
GO:0000750 0.352123825870514
GO:0000755 0.17289608028078
GO:0030031 0.033795608458923
GO:0051260 0.0981593662527546
GO:0005887 0.941399466836801
GO:0005471 0.0665043402617622
GO:0005509 0.385398477339239
GO:0006839 0.456839542194536
GO:0015866 0.0981593662527546
GO:0015867 0.0981593662527546
GO:0005743 0.989445755967697
GO:0004651 0.033795608458923
GO:0006370 0.14373641755394
GO:0006606 0.613124888305302
GO:0032968 0.545343538476026
GO:0098501 0.0170357751277683
GO:1900182 0.0824615310265189
GO:0031533 0.0502837380074058
GO:0043110 0.0170357751277683
GO:0000183 0.317142353805101
GO:0001302 0.511725815411979
GO:0006310 0.830855252924258
GO:0006325 0.909846544072061
GO:0007059 0.740723341933542
GO:0007580 0.0170357751277683
GO:0008156 0.0981593662527546
GO:0031582 0.0170357751277683
GO:0034503 0.0824615310265189
GO:0043007 0.14373641755394
GO:0045911 0.0170357751277683
GO:0070550 0.14373641755394
GO:0090342 0.033795608458923
GO:0090579 0.033795608458923
GO:0005730 0.999214907682634
GO:0033553 0.17289608028078
GO:0003735 0.989215816010567
GO:0019843 0.545343538476026
GO:0000462 0.726050682578721
GO:0002181 0.958262372581146
GO:0022627 0.731027055283921
GO:0032040 0.613124888305302
GO:0006744 0.201110762396337
GO:0003723 0.999985776888452
GO:0003887 0.682968910493383
GO:0003964 0.591676296669151
GO:0004540 0.606097184187324
GO:0008233 0.949005801886733
GO:0032197 0.810750665007279
GO:0000943 0.80718664739913
GO:0003676 0.99722977904282
GO:0000723 0.502959672062104
GO:0006368 0.633500322605764
GO:0006406 0.466377039258723
GO:0000445 0.0824615310265189
GO:0000446 0.0665043402617622
GO:0005199 0.545343538476026
GO:0031505 0.932723171915434
GO:0009277 0.888562058301034
GO:0003678 0.317142353805101
GO:0000722 0.437276559604085
GO:0043130 0.553397683055725
GO:0006511 0.810750665007279
GO:0008541 0.158436221544431
GO:0034515 0.363401043871027
GO:0016021 NaN
GO:0006412 0.99682030433495
GO:0015074 0.561316163852609
GO:0005739 NaN
GO:0006351 0.99999451381881
GO:0005758 0.659086033527623
GO:0008121 0.14373641755394
GO:0006006 0.0436103959364757
GO:0019236 0.417045408442952
GO:0046912 0.14373641755394
GO:0004640 0.0170357751277683
GO:0005759 0.898769180840315
GO:0016491 0.996435777287227
