gene	correlation	pvalue	description
ACA1	-0.00460996131751998	0.718665284851473	Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, may regulate transcription of genes involved in utilization of non-optimal carbon sources
ACE2	-0.0123445577577926	0.334699563012346	Transcription factor required for septum destruction after cytokinesis; phosphorylation by Cbk1p blocks nuclear exit of Ace2p during the M-to-G1 transition, causing its specific localization to daughter cell nuclei, and also increases Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of the RAM network that regulates cellular polarity and morphogenesis
ACM1	-0.0321142840504441	0.012066650312016	Pseudosubstrate inhibitor of the anaphase-promoting complex/cyclosome (APC/C), that suppresses APC/C [Cdh1]-mediated proteolysis of mitotic cyclins; associates with Cdh1p, Bmh1p and Bmh2p; cell cycle regulated protein
ADD66	-0.00621959590952181	0.62694631316199	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly
AFT1	-0.00720486518852343	0.573417862661562	Transcription factor involved in iron utilization and homeostasis; binds the consensus site PyPuCACCCPu and activates the expression of target genes in response to changes in iron availability; in iron-replete conditions activity is negatively regulated by Grx3p, Grx4p, and Fra2p, which regulate Aft1p translocation from the nucleus to the cytoplasm
AFT2	0.0110520427793451	0.387764644551442	Iron-regulated transcriptional activator; activates genes involved in intracellular iron use and required for iron homeostasis and resistance to oxidative stress; similar to Aft1p
AHC1	-0.00161077443208133	0.899832775022005	Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex
AIF1	-0.00730355494503526	0.568177714785413	Mitochondrial cell death effector that translocates to the nucleus in response to apoptotic stimuli, homolog of mammalian Apoptosis-Inducing Factor, putative reductase
AIM1	-0.0511320384538241	6.38037979066548e-05	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
AIR1	-0.00533555408823477	0.676718617103368	Zinc knuckle protein, involved in nuclear RNA processing and degradation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; functionally redundant with Air2p
AIR2	0.0127745393800095	0.318136047959995	RNA-binding subunit of the TRAMP nuclear RNA surveillance complex; involved in nuclear RNA processing and degradation; involved in TRAMP complex assembly as a bridge between Mtr4p and Trf4p; stimulates the poly(A) polymerase activity of Pap2p in vitro; functionally redundant with Air1p; has 5 zinc knuckle motifs
ALK1	0.0158801744395385	0.214598304736768	Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins
AMA1	0.00807265056368523	0.528144967727003	Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis
APC9	-0.0133521933764944	0.296743808451815	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition
APN2	-0.00897099490548346	0.483275301575577	Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII
APQ12	0.0139669874880918	0.275056946635401	Protein required for nuclear envelope morphology, nuclear pore complex localization, mRNA export from the nucleus; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism
ARG80	0.0183845841099879	0.150783881306574	Transcription factor involved in regulation of arginine-responsive genes; acts with Arg81p and Arg82p
ARG81	0.00800661108719895	0.531525229580701	Zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p
ARK1	0.0261768795152202	0.0407643221099462	Serine/threonine protein kinase involved in regulation of the cortical actin cytoskeleton; involved in control of endocytosis
ARO3	-0.00537722956315586	0.674338046929756	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan
ARO80	0.0121498870878192	0.342378060752434	Zinc finger transcriptional activator of the Zn2Cys6 family; activates transcription of aromatic amino acid catabolic genes in the presence of aromatic amino acids
ARP6	0.00139417279538105	0.913244981396261	Actin-related protein that binds nucleosomes; a component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A
ARR1	0.0249852340540464	0.0508488238957025	Transcriptional activator of the basic leucine zipper (bZIP) family, required for transcription of genes involved in resistance to arsenic compounds
