gene	correlation	pvalue	description
ABF2	0.000902206478046097	0.956742910845192	Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation
ACE2	0.0773473277676972	3.20610202271509e-06	Transcription factor required for septum destruction after cytokinesis; phosphorylation by Cbk1p blocks nuclear exit of Ace2p during the M-to-G1 transition, causing its specific localization to daughter cell nuclei, and also increases Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of the RAM network that regulates cellular polarity and morphogenesis
ADD66	0.0584258096437075	0.000438753981425993	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly
AFT1	0.0582042166868312	0.000461349744688623	Transcription factor involved in iron utilization and homeostasis; binds the consensus site PyPuCACCCPu and activates the expression of target genes in response to changes in iron availability; in iron-replete conditions activity is negatively regulated by Grx3p, Grx4p, and Fra2p, which regulate Aft1p translocation from the nucleus to the cytoplasm
AIM1	-0.0448308215588141	0.00700478559113013	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
APC9	-0.0172029131781977	0.300982886229112	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition
APN2	-0.0370139490015462	0.0260096441379436	Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII
APQ12	-0.0489624578736787	0.00322511954085679	Protein required for nuclear envelope morphology, nuclear pore complex localization, mRNA export from the nucleus; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism
ARG80	-0.0139621992834285	0.401212191546287	Transcription factor involved in regulation of arginine-responsive genes; acts with Arg81p and Arg82p
ARG81	0.0133968220894896	0.420552764041785	Zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, involved in the regulation of arginine-responsive genes; acts with Arg80p and Arg82p
ARP6	-0.0396484111677874	0.017096384233799	Actin-related protein that binds nucleosomes; a component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A
ARX1	-0.0139507961406164	0.401596921163581	Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit biogenesis; interacts directly with Alb1; responsible for Tif6 recycling defects in absence of Rei1; associated with the ribosomal export complex
ASE1	0.0168317547211759	0.311533861922409	Mitotic spindle midzone localized microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate
ASH1	0.0433767439383132	0.00907890110590032	Zinc-finger inhibitor of HO transcription; mRNA is localized and translated in the distal tip of anaphase cells, resulting in accumulation of Ash1p in daughter cell nuclei and inhibition of HO expression; potential Cdc28p substrate
