gene	correlation	pvalue	ratio of responsive genes	description
ABF2	-0.00292926288759051	0.965700346192262	0.0557090338229141	Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation
ACO1	-0.0100676672850962	0.455250073852877	0.82423416417352	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy
ADA2	-0.0930648451761122	0.0301327740260955	0.156063922515002	Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes
ADR1	0.0716227748858073	0.402102870826964	0.0383100384883651	Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization
AKL1	-0.0309971913494421	0.688222409858013	0.0461574644977655	Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization
ALK2	0.0731963315145552	0.373377959438815	0.0396926764684559	Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; ALK2 has a paralog, ALK1, that arose from the whole genome duplication; similar to mammalian haspins
ARG82	0.00156509996832751	0.906263850812195	0.893164894751348	Inositol polyphosphate multikinase (IPMK), sequentially phosphorylates Ins(1,4,5)P3 to form Ins(1,3,4,5,6)P5; also has diphosphoinositol polyphosphate synthase activity; regulates arginine-, phosphate-, and nitrogen-responsive genes
ARP8	-0.057124398928637	0.151779589517797	0.189455978569414	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity
ASC1	-0.0318418370214524	0.0155264889463526	0.893884982004521	G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; regulates P-body formation induced by replication stress; represses Gcn4p in the absence of amino acid starvation
ASF1	-0.155869996142794	1.05952026397676e-32	0.88646079926684	Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed; plays a role in regulating Ty1 transposition
ASG1	0.124070290613691	0.218748616527939	0.0246641222849895	Zinc cluster protein proposed to function as a transcriptional regulator involved in the stress response; null mutants have a respiratory deficiency, calcofluor white sensitivity and slightly increased cycloheximide resistance
ATG27	0.119619961441689	0.238267715661281	0.0271380351169825	Type I membrane protein involved in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; may be involved in membrane delivery to the phagophore assembly site
BCY1	-0.0353922680725371	0.386425920715798	0.181094185178906	Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation
BRE1	-0.00533333296061421	0.684316560250045	0.875143696725029	E3 ubiquitin ligase, forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control
BRE5	0.00412301743058537	0.942738409799827	0.105057032170707	Ubiquitin protease cofactor, forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A
BUD22	0.029616874896604	0.580797613713954	0.125498047009126	Protein required for 18S rRNA maturation and small ribosomal subunit biogenesis; cosediments with pre-ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern
BUR2	-0.000788787501069617	0.952452030513636	0.834404978353606	Cyclin for the Sgv1p (Bur1p) protein kinase; Sgv1p and Bur2p comprise a CDK-cyclin complex involved in transcriptional regulation through its phosphorylation of the carboxy-terminal domain of the largest subunit of RNA polymerase II
CAC2	-0.0352361946174536	0.388128982225729	0.159965085364024	Subunit of chromatin assembly factor I (CAF-1), with Rlf2p and Msi1p; chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of the DNA damage checkpoint after DNA repair; and chromatin dynamics during transcription
CBF1	0.028807168753608	0.0304967721908595	0.869696146433639	Dual function helix-loop-helix protein; binds the motif CACRTG present at several sites including MET gene promoters and centromere DNA element I (CDEI); affects nucleosome positioning at this motif; associates with other transcription factors such as Met4p and Isw1p to mediate transcriptional activation or repression; associates with kinetochore proteins and required for efficient chromosome segregation
CCR4	-0.0162298003547293	0.25605911146936	0.678058779398463	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
CDC40	0.0320964090869788	0.504837781473498	0.15257816727731	Pre-mRNA splicing factor, important for catalytic step II of pre-mRNA splicing and plays a role in cell cycle progression; required for DNA synthesis during mitosis and meiosis; has WD repeats
CDC73	-0.0671255155657706	0.145790055486093	0.157332296361007	Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of certain genes, modification of some histones, and telomere maintenance; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay
CHO2	-0.000651089327458573	0.961242400114628	0.84724589431529	Phosphatidylethanolamine methyltransferase (PEMT), catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis
CHZ1	-0.0682082091435948	0.530178440105288	0.0232304870699323	Histone chaperone for Htz1p/H2A-H2B dimer; required for the stabilization of the Chz1p-Htz1-H2B complex; has overlapping function with Nap1p; null mutant displays weak sensitivity to MMS and benomyl; contains a highly conserved CHZ motif
CKA2	-0.012693538635223	0.341219974776578	0.878615434954462	Alpha' catalytic subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase
CKB2	-0.0796588222404667	0.148773063703723	0.0875894768491998	Beta' regulatory subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase
CLU1	0.128374051489011	0.158782353177849	0.0278482111172584	eIF3 component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation, can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant
CMP2	0.0722860742920066	0.339000843839294	0.0470954595710358	Calcineurin A; one isoform (the other is CNA1) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1
CPR1	-0.32993126809323	0.00639938589781252	0.0148011250471469	Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A
CPR6	0.150235214275607	0.0435208202650079	0.0472778022385501	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and contributes to chaperone activity
CST6	-0.016490865811738	0.221699400838998	0.841480882578881	Basic leucine zipper (bZIP) transcription factor, in ATF/CREB family; mediates transcriptional activation of NCE103 (encoding carbonic anhydrase) in response to low CO2 levels such as in the ambient air; proposed to be a regulator of oleate responsive genes; involved in utilization of non-optimal carbon sources and chromosome stability
CTF4	-0.0116703318763227	0.388114186314023	0.80816456099106	Chromatin-associated protein, required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion
CTI6	0.0641413836313896	0.185353407050432	0.120254779159789	Protein that relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain
CTK1	0.000886745354396972	0.949425170349399	0.721521088375896	Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I); phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and ribosomal protein Rps2p to increase translational fidelity; similar to the Drosophila dCDK12 and human CDK12 and probably CDK13
CTR9	-0.0304753827164247	0.557911899773384	0.153926885446701	Component of the Paf1p complex involved in transcription elongation; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cyclin genes; involved in SER3 repression by helping to maintain SRG1 transcription-dependent nucleosome occupancy; contains TPR repeats
CUE1	0.0223422666512089	0.783288860174054	0.0360122337156204	Endoplasmic reticulum membrane protein that recruits the ubiquitin-conjugating enzyme Ubc7p to the ER where it functions in protein degradation; contains a CUE domain that binds ubiquitin to facilitate intramolecular monoubiquitination
CUE5	-0.135491574426263	0.166105663073574	0.0263250913123515	Protein containing a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
DEF1	-0.0137719239287026	0.297604653516051	0.853478924759363	RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis
DEP1	-0.075774507828637	0.0597521526312014	0.173348667969839	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
DHH1	0.00978968476289032	0.456758590057255	0.886994418042375	Cytoplasmic DExD/H-box helicase, stimulates mRNA decapping; coordinates distinct steps in mRNA function and decay, interacts with both the decapping and deadenylase complexes, may have a role in mRNA export and translation; C-terminus of Dhh1p interacts with Ngr1p and promotes POR1, but not EDC1 mRNA decay
DID4	0.00535931768633128	0.684414700103327	0.878971518100862	Class E Vps protein of the ESCRT-III complex, required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis
DIG1	-0.04582569944575	0.330473085946104	0.125367677089836	MAP kinase-responsive inhibitor of the Ste12p transcription factor, involved in the regulation of mating-specific genes and the invasive growth pathway; related regulators Dig1p and Dig2p bind to Ste12p
DOA4	0.0178312979327897	0.182340124724043	0.841003740974246	Ubiquitin isopeptidase, required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins en route to the vacuole
DOC1	-0.0418846003903684	0.00159055047018598	0.873609670605913	Processivity factor required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain
DSK2	0.134870661069693	0.0795084786559051	0.0462306248196991	Nuclear-enriched ubiquitin-like polyubiquitin-binding protein, required for spindle pole body (SPB) duplication and for transit through the G2/M phase of the cell cycle, involved in proteolysis, interacts with the proteasome
EAF1	-0.0573136319608934	0.144709240850024	0.218624450019394	Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1
EAF7	-0.0426662882515053	0.00122375323614957	0.887941176382855	Subunit of the NuA4 histone acetyltransferase complex, which acetylates the N-terminal tails of histones H4 and H2A
EGD1	-0.273341213480767	0.0499148490931359	0.0125494001918687	Subunit beta1 of the nascent polypeptide-associated complex (NAC) involved in protein targeting, associated with cytoplasmic ribosomes; enhances DNA binding of the Gal4p activator; homolog of human BTF3b
EGD2	-0.0671562479593397	0.435554348914848	0.0368895651600572	Alpha subunit of the heteromeric nascent polypeptide-associated complex (NAC) involved in protein sorting and translocation, associated with cytoplasmic ribosomes
ELF1	0.0474965797984466	0.474470493557491	0.0896027079007045	Transcription elongation factor that contains a conserved zinc finger domain; implicated in the maintenance of proper chromatin structure in actively transcribed regions; deletion inhibits Brome mosaic virus (BMV) gene expression
ELP4	0.0382557201149544	0.457741339218661	0.118139619687694	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity
ELP6	0.0411716311734183	0.420496277059383	0.122771725713167	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity
ERG2	0.00176038719549728	0.895272682691785	0.872427304742109	C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis
ESC2	3.33343480840089e-05	0.997983626151337	0.915070766467538	Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member
EST3	0.0137182566087908	0.302596083629416	0.876746037080338	Component of the telomerase holoenzyme, involved in telomere replication
FKS1	0.000859576009150362	0.948810028975381	0.856941500938262	Catalytic subunit of 1,3-beta-D-glucan synthase, functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling
FUS3	0.0432525484138851	0.462338533908378	0.0801588810826355	Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation
GBP2	0.0546845080914673	0.410158460701292	0.061321150253877	Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm; similar to Hrb1p and Npl3p; also binds single-stranded telomeric repeat sequence in vitro
GCN1	-0.240321948650479	0.0328957463147828	0.0218020777992105	Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA
GCN5	-0.083142824816603	0.100231144595751	0.12575976265413	Acetyltransferase, modifies N-terminal lysines on histones H2B and H3; acetylates Rsc4p, a subunit of the RSC chromatin-remodeling complex, altering replication stress tolerance; catalytic subunit of the ADA and SAGA histone acetyltransferase complexes; founding member of the Gcn5p-related N-acetyltransferase superfamily; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay
GCR2	-0.0425477666830456	0.349277615093214	0.141420493381128	Transcriptional activator of genes involved in glycolysis; interacts and functions with the DNA-binding protein Gcr1p
GIS2	-0.0511660363593739	0.531301739417755	0.0367695468460837	Translational activator for mRNAs with internal ribosome entry sites; associates with polysomes and binds to a specific subset of mRNAs; ortholog of human ZNF9/CNBP, a gene involved in myotonic dystrophy type 2
GLN3	-0.0074065801299263	0.573481070064481	0.902893006771784	Transcriptional activator of genes regulated by nitrogen catabolite repression (NCR), localization and activity regulated by quality of nitrogen source
